Reaction_ID,CORDA_Score
10FTHF5GLUtl,-1
10FTHF5GLUtm,-1
10FTHF6GLUtl,-1
10FTHF6GLUtm,-1
10FTHF7GLUtl,-1
10FTHF7GLUtm,-1
10FTHFtl,-1
10FTHFtm,-1
11DOCRTSLtm,-1
11DOCRTSLtr,-1
11DOCRTSTRNtm,-1
11DOCRTSTRNtr,-1
13DAMPPOX,3
1a_24_25VITD2Hm,-1
1a_25VITD2Hm,-1
1MNCAMti,-1
1PPDCRp,-1
24_25DHVITD2t,-1
24_25DHVITD2tm,-1
24_25DHVITD3t,-1
24_25DHVITD3tm,-1
24_25VITD2Hm,1
24_25VITD3Hm,1
24NPHte,-1
25HVITD2t,-1
25HVITD2tin_m,-1
25HVITD3t,-1
25HVITD3tin_m,-1
25VITD2Hm,1
25VITD3Hm,1
2AMACHYD,3
2AMACSULT,3
2AMADPTm,2
2DR1PP,-1
2HBO,3
2HBt2,3
2HCO3_NAt,3
2MCITt,-1
2OXOADOXm,3
2OXOADPTm,2
34DHOXPEGOX,3
34DHOXPEGt,-1
34DHPHAMT,3
34DHPHEt,3
34DHALDD,3
34DHPLACOX_NADP,3
34DHXMANDACOX,3
34DHXMANDACOX_NADP,3
34HPLFM,-1
34HPPOR,3
35CGMPtn,-1
3AIBTm,3
3AIBtm,3
3DPHBH1,-1
3DPHBH2,-1
3DSPHR,3
3HAO,2
3HBCDm,3
3HBCOAHLm,-1
3HKYNAKGAT,1
3HLYTCL,3
3M4HDXPAC,3
3MLDAt,-1
3MOBt2im,-1
3MOPt2im,-1
3MOX4HOXPGALDOX,3
3MOX4HOXPGALDOX_NADP,3
3MOXTYROX,3
3SALAASPm,3
3SALACBOXL_cho,3
3SALAOX,-1
3SALATAi,3
3SALATAim,3
3SPYRSP,-1
3SPYRSPm,-1
41R1H2MAE12BOOX,3
41R2A1H12BOOX,3
42A12BOOX,3
4ABUTtm,-1
4HBZCOAFm,-1
4HBZFm,-1
4HDEBRISOQUINEte,-1
4HGLSDm,3
4HOXPACDOX_NADP,3
4MOPt2im,-1
4MPTNLte,-1
4MPTNLtm,-1
4MTOLBUTAMIDEte,-1
4NPHSFte,-1
4NPHSULT,3
4NPHte,-1
4PYRDX,-1
5ADTSTSTERONEGLCte,3
5ADTSTSTERONEGLCtr,-1
5ADTSTSTERONESte,-1
5ADTSTSTERONESULT,3
5ADTSTSTERONEte,-1
5ADTSTSTERONEtr,-1
5AOPtm,-1
