Gene,Reaction1,Reaction2,Reaction3,Reaction4,Reaction5,Reaction6,Reaction7,Reaction8,Reaction9,Reaction10,Reaction11,Reaction12,Reaction13
Aanat,Tryptophan metabolism,,,,,,,,,,,,
Abca1,"Transport, extracellular","Transport, golgi apparatus",,,,,,,,,,,
Abca4,"Transport, extracellular",  ,,,,,,,,,,,
Acadl,Fatty acid oxidation,Fatty acid synthesis,,,,,,,,,,,
Acadm,Butanoate metabolism,Fatty acid oxidation,Fatty acid synthesis,"Valine, leucine, and isoleucine metabolism",,,,,,,,,
Acadvl,Drug metabolism,Fatty acid oxidation,Fatty acid synthesis,,,,,,,,,,
Acads,Butanoate metabolism,Fatty acid oxidation,"Valine, leucine, and isoleucine metabolism",,,,,,,,,,
Slc33a1,Sphingolipid metabolism,"Transport, endoplasmic reticular","Transport, extracellular",,,,,,,,,,
Ace,Miscellaneous,,,,,,,,,,,,
Ache,Glycerophospholipid metabolism,,,,,,,,,,,,
Aco1,Citric acid cycle,Miscellaneous,,,,,,,,,,,
Aco2,Citric acid cycle,Miscellaneous,,,,,,,,,,,
Acox1,Bile acid synthesis,Drug metabolism,Fatty acid oxidation,Miscellaneous,  ,  ,  ,  ,  ,  ,  ,  ,  
Acp1,NAD metabolism,"Transport, extracellular",Vitamin B2 metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Acp2,CoA catabolism,,Purine catabolism,Pyrimidine catabolism,  ,  ,  ,  ,  ,  ,  ,  ,  
Acp5,Aminosugar metabolism,CoA catabolism,,NAD metabolism,Purine catabolism,Pyrimidine catabolism,Vitamin B2 metabolism,  ,  ,  ,  ,  ,  
Aspa,Alanine and aspartate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ada,Nucleotide interconversion,Purine catabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Adcy6,Nucleotide interconversion,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Adcy7,Nucleotide interconversion,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Adcy8,Nucleotide interconversion,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Adcy9,Nucleotide interconversion,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Adh1,Bile acid synthesis,Glycolysis/gluconeogenesis,Leukotriene metabolism,Miscellaneous,Pyruvate metabolism,Tyrosine metabolism,Vitamin A metabolism,  ,  ,  ,  ,  ,  
Adh7,Bile acid synthesis,Glycolysis/gluconeogenesis,Leukotriene metabolism,Miscellaneous,Pyruvate metabolism,Tyrosine metabolism,Vitamin A metabolism,  ,  ,  ,  ,  ,  
Adh5,Bile acid synthesis,Fatty acid oxidation,Glycolysis/gluconeogenesis,Leukotriene metabolism,Miscellaneous,Propanoate metabolism,Pyruvate metabolism,Tyrosine metabolism,Vitamin A metabolism,  ,  ,  ,  
Adk,Nucleotide interconversion,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Adsl,Nucleotide interconversion,Purine synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Adssl1,Nucleotide interconversion,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Adss,Nucleotide interconversion,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Aga,Keratan sulfate degradation,N-glycan degradation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Gla,Glycosphingolipid metabolism,Miscellaneous,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Agxt,Alanine and aspartate metabolism,"Glycine, serine, alanine, and threonine metabolism",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Aicda,Nucleotide interconversion,Pyrimidine catabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ak1,Nucleotide interconversion,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ak2,Nucleotide interconversion,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ak4,Nucleotide interconversion,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Alpl,Miscellaneous,Tetrahydrobiopterin metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Akp3,Tetrahydrobiopterin metabolism,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Alppl2,Tetrahydrobiopterin metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Alas1,"Glycine, serine, alanine, and threonine metabolism",Miscellaneous,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Alas2,"Glycine, serine, alanine, and threonine metabolism",Miscellaneous,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Abcd1,"Transport, peroxisomal",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Aldh1a1,Arginine and proline metabolism,Beta-Alanine metabolism,Glycolysis/gluconeogenesis,Glyoxylate and dicarboxylate metabolism,Histidine metabolism,Pyruvate metabolism,Tryptophan metabolism,Vitamin A metabolism,Vitamin C metabolism,  ,  ,  ,  
Aldh2,Beta-Alanine metabolism,Bile acid synthesis,Eicosanoid metabolism,Glycolysis/gluconeogenesis,Glyoxylate and dicarboxylate metabolism,Miscellaneous,Pyruvate metabolism,Tryptophan metabolism,"Valine, leucine, and isoleucine metabolism",  ,  ,  ,  
Aldh3a1,Bile acid synthesis,Eicosanoid metabolism,Glycolysis/gluconeogenesis,Glyoxylate and dicarboxylate metabolism,Histidine metabolism,Miscellaneous,Phenylalanine metabolism,Pyruvate metabolism,Tyrosine metabolism,Vitamin C metabolism,  ,  ,  
Aldh3a2,Arginine and proline metabolism,Beta-Alanine metabolism,Bile acid synthesis,Eicosanoid metabolism,Fatty acid oxidation,Glycolysis/gluconeogenesis,Glyoxylate and dicarboxylate metabolism,Histidine metabolism,Miscellaneous,Pyruvate metabolism,Tryptophan metabolism,"Valine, leucine, and isoleucine metabolism",Vitamin C metabolism
Aldoa,Fructose and mannose metabolism,Galactose metabolism,Glycolysis/gluconeogenesis,Glyoxylate and dicarboxylate metabolism,Miscellaneous,  ,  ,  ,  ,  ,  ,  ,  
Aldoc,Fructose and mannose metabolism,Galactose metabolism,Glycolysis/gluconeogenesis,Glyoxylate and dicarboxylate metabolism,Miscellaneous,  ,  ,  ,  ,  ,  ,  ,  
Akr1b3,Fructose and mannose metabolism,Galactose metabolism,Glycerophospholipid metabolism,Miscellaneous,Pentose phosphate pathway,Pyruvate metabolism,  ,  ,  ,  ,  ,  ,  
Alox12,Arachidonic acid metabolism,Eicosanoid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Alox15,Arachidonic acid metabolism,Eicosanoid metabolism,Linoleate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Alox8,Arachidonic acid metabolism,Eicosanoid metabolism,Linoleate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Alox5,Arachidonic acid metabolism,Eicosanoid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Amd1,Arginine and proline metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
