mets,genes,rxns,,"# in genes, we removed the transcript numeber, ex .1, .2 ..etc and removed duplicates to maintain the uniques genes "
10fthf[c],100,10FTHFtm,,
10fthf[m],10005,24_25DHVITD3t,,
2425dhvitd3[c],10007,24_25DHVITD3tm,,
2425dhvitd3[e],100137049,24_25VITD3Hm,,
2425dhvitd3[m],10020,25HVITD3tin_m,,
o2[m],100288072,2HBt2,,
h[m],100507855,2OXOADOXm,,
nadph[m],100526794,2OXOADPTm,,
25hvitd3[m],10058,34DHOXPEGOX,,
h2o[m],10060,34DHOXPEGt,,
nadp[m],10087,34DHPHEt,,
25hvitd3[c],10090,34DHPLACOX_NADP_,,
h[e],10135,34DHXMANDACOX,,
2hb[e],10164,34DHXMANDACOX_NADP_,,
h[c],10165,34HPLFM,,
2hb[c],10166,34HPPOR,,
nad[m],10201,3AIBTm,,
2oxoadp[m],10202,3AIBtmi,,
coa[m],10229,3DPHBH1,,
nadh[m],10249,3DPHBH2,,
co2[m],10257,3DSPHR,,
glutcoa[m],102724197,3HAO,,
akg[m],102724560,3HBCOAHLm,,
2oxoadp[c],10312,3HLYTCL,,
akg[c],10317,3M4HDXPAC,,
nadh[c],10327,3MLDAt,,
34dhmald[c],10331,3MOBt2im,,
nad[c],10351,3MOPt2im,,
34dhoxpeg[c],1036,3MOX4HOXPGALDOX,,
34dhoxpeg[e],10380,3MOX4HOXPGALDOX_NADP_,,
34dhphe[e],10390,3MOXTYROX,,
34dhphe[c],10396,3SALACBOXL,,
h2o[c],1040,3SALATAi,,
nadp[c],10400,3SPYRSP,,
34dhpac[c],10402,41R1H2MAE12BOOX,,
nadph[c],10423,41R2A1H12BOOX,,
34dhpha[c],10449,42A12BOOX,,
34dhoxmand[c],10476,4ABUTtm,,
34hpp[m],10478,4HBZCOAFm,,
34hpl[m],10553,4HBZFm,,
o2[c],10554,4MOPt2im,,
34hpp[c],10555,5ADTSTSTERONEtr,,
co2[c],10558,5HLTDL,,
hgentis[c],10559,5HOXINDACTO2OX,,
2mop[m],1056,5HOXINOXDA,,
glu_L[m],10560,5MTHFt,,
3aib[m],10587,5MTHFt2,,
3aib[c],10599,A4GALTg,,
3dphb[m],10606,A4GNT2g,,
3dpdhb[m],10632,ABO9g,,
3dsphgn[c],10654,ABTArm,,
sphgn[c],10678,ABUTt4_2_r,,
3hanthrn[c],10682,ACACT10m,,
cmusa[c],10690,ACACt2m,,
3hibutcoa[m],107,ACCOACm,,
3hmp[m],10723,ACCOAgt,,
dopa[c],10797,ACCOAtn,,
3mox4hpac[c],108,ACETONEt2,,
homoval[c],1080,ACETONEt2m,,
3mlda[c],10825,ACGALK,,
3mlda[e],10840,ACGALtlg,,
3mob[c],10841,ACGALtly,,
3mob[m],10846,ACGAM6PSi,,
3mop[c],10858,ACGAMK,,
3mop[m],10861,ACGAMPM,,
3m4hpga[c],10864,ACGAMtly,,
3mox4hoxm[c],10870,ACGBGBSIDEtg,,
3moxtyr[c],10873,ACGBGBSIDEtl,,
h2o2[c],109,ACHEe,,
nh4[c],10901,ACHtn,,
3sala[c],10928,ACITL,,
hyptaur[c],10935,ACNACNGAL14ACGLCGALGLUSIDEte,,
glu_L[c],10941,ACNACNGAL14ACGLCGALGLUSIDEtg,,
3snpyr[c],10948,ACNAM9PL,,
pyr[c],10965,ACNAMlt,,
so3[c],10975,ACNAMPH,,
adrnl[c],10991,ACOAD10m,,
mma[c],10993,ACOAD1fm,,
nrpphr[c],10998,ACOAD8m,,
4abut[c],10999,ACONTm,,
4abut[m],11000,ACOX22x,,
coucoa[m],11001,ACSm,,
4hbzcoa[m],1103,ACtg,,
accoa[m],11041,ADA,,
4hbz[m],11046,ADEt,,
4mop[c],1109,ADK1m,,
4mop[m],111,ADK3m,,
5adtststerone[r],11102,ADKd,,
5adtststerone[c],11112,ADMDC,,
5htrp[c],11136,ADNCYC,,
srtn[c],11164,ADNK1m,,
5hoxindact[c],11181,ADNt,,
5hoxindoa[c],11182,ADNt4,,
5mthf[e],1119,ADNtl,,
5mthf[c],112,ADNtm,,
h2o[e],1120,ADSK,,
galgluside_hs[g],11212,ADSL1,,
udpgal[g],11226,ADSL2,,
h[g],11227,AG13T1g,,
thcrm_hs[g],11238,AG13T2g,,
udp[g],112483,AG13T3g,,
uacgam[g],11254,AGMTm,,
core2[g],112611,AGPAT1,,
gncore2[g],112724,AIRCr,,
fucfucgalacglcgalacglcgal14acglcgalgluside_hs[g],11283,AKGDm,,
galgalfucfucgalacglcgalacglcgal14acglcgalgluside_hs[g],11285,AKGMALtm,,
sucsal[m],113,AKGt4_3,,
na1[e],113026,AKR1C42,,
4abut[e],11309,ALAASNNaEx,,
na1[c],113189,ALACYSNaEx,,
2maacoa[m],113235,ALADGLNexR,,
ppcoa[m],113278,ALADGLYexR,,
acac[c],11332,ALAGLNexR,,
acac[m],11343,ALAGLNNaEx,,
atp[m],113451,ALAGLYexR,,
hco3[m],113675,ALASERNaEx,,
adp[m],114,ALASm,,
pi[m],114134,ALAt4,,
malcoa[m],114571,ALATA_L,,
accoa[c],114805,ALATHRNaEx,,
accoa[g],114971,ALAtN1,,
accoa[n],115,ALCD21_D,,
acetone[e],1152,ALDD2y,,
acetone[c],115286,ALOX12,,
acetone[m],1155,ALOX15,,
atp[c],115584,ALOX5,,
acgal[c],1158,ALOX52,,
adp[c],1159,AMACR2p,,
acgal1p[c],1160,AMETt2m,,
acgal[g],116255,AMPDA,,
acgal[l],116285,ANDRSTRNtr,,
gam6p[c],117247,APAT2rm,,
coa[c],117248,APOCFm,,
acgam6p[c],1178,APOC_LYS_BTNPm,,
acgam[c],118881,APRTO2,,
acgam1p[c],120103,ARACHDCOAtx,,
acgam[l],121214,ARACHDt2,,
acgbgbside_hs[c],121278,ARACHDtr,,
acgbgbside_hs[g],122481,ARACHt,,
acgbgbside_hs[l],122622,ARGDCm,,
ach[e],122970,ARGLYSex,,
ac[e],123041,ARGSS,,
chol[e],123096,ARGtm,,
ach[n],123099,ARSA,,
ach[c],123264,ARTCOAL2,,
cit[c],123745,R_group_phosphotase_3,,
pi[c],123876,ASAH1,,
oaa[c],124,ASCBt,,
acnacngal14acglcgalgluside_hs[e],1244,ASCBt4,,
acnacngal14acglcgalgluside_hs[c],124583,ASNALANaEx,,
acnacngal14acglcgalgluside_hs[g],124637,ASNCYSNaEx,,
acmanap[c],124872,ASNGLNNaEx,,
pep[c],124935,ASNNm,,
acnamp[c],124975,ASNS1,,
acnam[c],125,ASNSERNaEx,,
h[l],125061,ASNt4,,
acnam[l],125206,ASNTHRNaEx,,
2mbcoa[m],125965,ASNtm,,
fad[m],125981,ASNtN1,,
2mb2coa[m],126,ASPCTr,,
fadh2[m],126129,ASPDt6,,
btcoa[m],126328,ASPGLUm,,
b2coa[m],1267,ASPNATm,,
ivcoa[m],126792,ASPt6,,
3mb2coa[m],127,ASPTAm,,
cit[m],127124,ATP1ter,,
icit[m],128,ATP2ter,,
o2[x],129607,ATPasel,,
fadh2[x],129642,ATPH1e,,
dhcholoylcoa[x],130,ATPtm,,
fad[x],130367,B3GALT3g,,
thcholoylcoa[x],130752,B3GALTg,,
ac[m],131,B3GNT11g,,
amp[m],1312,B3GNT310g,,
ppi[m],131669,B3GNT312g,,
ac[c],132158,B3GNT314g,,
ac[g],1327,B3GNT36g,,
adn[c],132789,B3GNT51g,,
ins[c],1329,BAAT3x,,
ade[e],133121,BACCLm,,
ade[c],1337,BALAtmr,,
gtp[m],1339,BDHm,,
gdp[m],1340,BHBtm,,
damp[c],1345,BHMT,,
datp[c],134526,BILDGLCURt,,
dadp[c],1346,BILDGLCURtr,,
amet[c],1347,BILGLCURtr,,
ametam[c],1349,BILIRED,,
ppi[c],1350,BILIRUBtr,,
camp[c],1351,BTNDm,,
adn[m],135152,BTNPLm,,
adn[e],1356,BTNt2,,
adn[l],1357,BTNt2m,,
aps[c],1358,BTNt3i,,
paps[c],1371,BTNt4i,,
dcamp[c],1373,BUTt2m,,
amp[c],1374,C14STRr,,
