mets,genes,rxns,,"# we removed the transcript ids such as .1, .2 …etc and removed duplicates to maitain the unique genes "
10fthf5glu[c],8639,10FTHF5GLUtl,,
10fthf5glu[l],26,10FTHF5GLUtm,,
10fthf5glu[m],314,10FTHF6GLUtl,,
10fthf6glu[c],1591,10FTHF6GLUtm,,
10fthf6glu[l],1594,10FTHF7GLUtl,,
10fthf6glu[m],10993,10FTHF7GLUtm,,
10fthf7glu[c],6818,10FTHFtl,,
10fthf7glu[l],89874,10FTHFtm,,
10fthf7glu[m],92483,11DOCRTSLtm,,
10fthf[c],3948,11DOCRTSLtr,,
10fthf[l],55293,11DOCRTSTRNtm,,
10fthf[m],3945,11DOCRTSTRNtr,,
11docrtsl[c],3939,13DAMPPOX,,
11docrtsl[m],160287,1a_24_25VITD2Hm,,
11docrtsl[r],9123,1a_24_25VITD3Hm,,
11docrtstrn[c],9194,1a_25VITD2Hm,,
11docrtstrn[m],6566,1a_25VITD3Hm,,
11docrtstrn[r],57835,1MNCAMti,,
13dampp[c],8671,1PPDCRp,,
h2o[c],4967,24_25DHVITD2t,,
o2[c],1738,24_25DHVITD2tm,,
bamppald[c],8050,24_25DHVITD3t,,
h2o2[c],1743,24_25DHVITD3tm,,
nh4[c],130,24_25VITD2Hm,,
h2o[m],127,24_25VITD3Hm,,
o2[m],125,24NPHte,,
2425dhvitd2[m],124,25HVITD2t,,
h[m],131,25HVITD2tin,,
nadph[m],126,25HVITD2tin_m,,
1a2425thvitd2[m],128,25HVITD2tm,,
nadp[m],137872,25HVITD3t,,
2425dhvitd3[m],1312,25HVITD3tin_m,,
1a2425thvitd3[m],117247,25HVITD3tm,,
1a25dhvitd2[m],218,25VITD2Hm,,
1a25dhvitd3[m],222,25VITD3Hm,,
h[c],220,2AMACHYD,,
1mncam[c],221,2AMACSULT,,
1mncam[e],3242,2AMADPTm,,
atp[c],18,2DR1PP,,
adp[c],2531,2HBO,,
pi[c],23498,2HBt2,,
h[x],55268,2HCO3_NAt,,
1pipdn2c[x],51166,2MCITt,,
nadh[x],883,2OXOADOXm,,
Lpipecol[x],1644,2OXOADPTm,,
nad[x],26275,34DHOXPEGOX,,
2425dhvitd2[c],4128,34DHOXPEGt,,
2425dhvitd2[e],4129,34DHPHAMT,,
2425dhvitd3[c],53,34DHPHEt,,
2425dhvitd3[e],55,34DHPLACOX,,
25hvitd2[m],51205,34DHPLACOX_NADP_,,
25hvitd3[m],54,34DHXMANDACOX,,
24nph[e],10165,34DHXMANDACOX_NADP_,,
24nph[c],8604,34HPLFM,,
25hvitd2[c],51380,34HPPOR,,
25hvitd2[e],2571,35CGMPtn,,
25hvitd3[c],2572,3AIBTm,,
25hvitd3[e],2805,3AIBtmi,,
2amac[c],2806,3DPHBH1,,
pyr[c],8659,3DPHBH2,,
nadph[c],6799,3DSPHR,,
nadp[c],6817,3HAO,,
paps[c],4363,3HBCDm,,
Lcyst[c],6822,3HBCOAHLm,,
pap[c],6573,3HKYNAKGAT,,
L2aadp[c],316,3HLYTCL,,
L2aadp[m],219,3HPCOAHYD,,
akg[m],217,3HPPD,,
akg[c],3620,3HXKYNDCL,,
2dr1p[c],6570,3HXKYNOXDA,,
drib[c],6571,3M4HDXPAC,,
nadh[c],2348,3MLDAt,,
nad[c],2352,3MOBt2im,,
2hb[c],4123,3MOPt2im,,
2obut[c],4125,3MOX4HOXPGALDOX,,
h[e],53947,3MOX4HOXPGALDOX_NADP_,,
2hb[e],51146,3MOXTYROX,,
hco3[e],28,3NTD7l,,
hco3[c],206358,3SALAASPm,,
na1[e],6529,3SALACBOXL,,
na1[c],6538,3SALAOX,,
2mcit[c],6540,3SALATAi,,
2mcit[e],6539,3SALATAim,,
nadh[m],38,3SPYRSP,,
nad[m],3032,3SPYRSPm,,
2oxoadp[m],10449,41R1H2MAE12BOOX,,
coa[m],3030,41R2A1H12BOOX,,
co2[m],39,42A12BOOX,,
glutcoa[m],30,4ABUTtm,,
2oxoadp[c],32,4HBZCOAFm,,
34dhmald[c],9197,4HBZFm,,
34dhoxpeg[c],84532,4HDEBRISOQUINEte,,
34dhoxpeg[e],79611,4HGLSDm,,
34dhpha[c],64841,4HOXPACDOX_NADP_,,
amet[c],55577,4MOPt2im,,
ahcys[c],5238,4MPTNLte,,
homoval[c],9487,4MPTNLtm,,
34dhphe[e],162417,4MPTNLtr,,
34dhphe[c],43,4MTOLBUTAMIDEte,,
34dhpac[c],6572,4NPHSFte,,
34dhoxmand[c],47,4NPHSULT,,
34hpp[m],54187,4NPHte,,
34hpl[m],26503,4PYRDX,,
co2[c],140838,5ADTSTSTERONEGLCte,,
34hpp[c],36,5ADTSTSTERONEGLCtr,,
hgentis[c],34,5ADTSTSTERONESte,,
35cgmp[c],80724,5ADTSTSTERONESULT,,
35cgmp[n],35,5ADTSTSTERONEte,,
3aib[m],84129,5ADTSTSTERONEtr,,
2mop[m],27034,5AOPtm,,
glu_L[m],28976,5DHFtl,,
3aib[c],3712,5FTHFt2,,
3dphb[m],134526,5HLTDL,,
3dpdhb[m],51,5HOMEPRAZOLEte,,
3dsphgn[c],95,5HOXINDACTO2OX,,
sphgn[c],50,5HOXINDACTOXm,,
3hanthrn[c],48,5HOXINOXDA,,
cmusa[c],8309,5HTRPDOX,,
