GSE_accession ,GSM_accession ,Dataset_type,Strain_mice,sample description,Brain_tissue,Biosample_platform ID,Title_study,Mice_Age ,Hints about FVB/NJ
GSE232368,GSM7329492,RNA-seq,FVB/NJ,WT FVB Cerebellum 5 Weeks Old Rep 1,Cerebellum,GPL24247,Transcriptomic approach reveals splicing dysregulation in spinocerebellar ataxia type 1,5 weeks,FVB/NJ mice are wild-type mice without any intentional genetic modifications or mutations
GSE232368,GSM7329493,RNA-seq,FVB/NJ,WT FVB Cerebellum 5 Weeks Old Rep 2,Cerebellum,GPL24247,Transcriptomic approach reveals splicing dysregulation in spinocerebellar ataxia type 1,5 weeks,
GSE232368,GSM7329494,RNA-seq,FVB/NJ,WT FVB Cerebellum 5 Weeks Old Rep 3,Cerebellum,GPL24247,Transcriptomic approach reveals splicing dysregulation in spinocerebellar ataxia type 1,5 weeks,
GSE232368,GSM7329495,RNA-seq,FVB/NJ,WT FVB Cerebellum 5 Weeks Old Rep 4,Cerebellum,GPL24247,Transcriptomic approach reveals splicing dysregulation in spinocerebellar ataxia type 1,5 weeks,
GSE232368,GSM7329500,RNA-seq,FVB/NJ,WT FVB Cerebellum 12 Weeks Old Rep 1,Cerebellum,GPL24247,Transcriptomic approach reveals splicing dysregulation in spinocerebellar ataxia type 1,12 weeks,
GSE232368,GSM7329501,RNA-seq,FVB/NJ,WT FVB Cerebellum 12 Weeks Old Rep 2,Cerebellum,GPL24247,Transcriptomic approach reveals splicing dysregulation in spinocerebellar ataxia type 1,12 weeks,
GSE232368,GSM7329502,RNA-seq,FVB/NJ,WT FVB Cerebellum 12 Weeks Old Rep 3,Cerebellum,GPL24247,Transcriptomic approach reveals splicing dysregulation in spinocerebellar ataxia type 1,12 weeks,
GSE232368,GSM7329506,RNA-seq,FVB/NJ,WT FVB Cerebellum 20 Weeks Old Rep 1,Cerebellum,GPL24247,Transcriptomic approach reveals splicing dysregulation in spinocerebellar ataxia type 1,20 weeks,
GSE232368,GSM7329507,RNA-seq,FVB/NJ,WT FVB Cerebellum 20 Weeks Old Rep 2,Cerebellum,GPL24247,Transcriptomic approach reveals splicing dysregulation in spinocerebellar ataxia type 1,20 weeks,
GSE232368,GSM7329508,RNA-seq,FVB/NJ,WT FVB Cerebellum 20 Weeks Old Rep 3,Cerebellum,GPL24247,Transcriptomic approach reveals splicing dysregulation in spinocerebellar ataxia type 1,20 weeks,
GSE233435,GSM7427996,RNA-seq,C57BL/6,"Female,control,5",Cortex,GPL24247,Sex-specific resilience of neocortex to food restriction,7-9 weeks,
GSE233435,GSM7427997,RNA-seq,C57BL/6,"Female,control,6",Cortex,GPL24247,Sex-specific resilience of neocortex to food restriction,7-9 weeks,
