mets,genes,rxns
10fthf5glu[c],11754,11DOCRTSLte
10fthf5glu[l],76507,11DOCRTSTRNte
10fthf5glu[m],237940,12DHCHOLabc
10fthf6glu[c],13081,12DHCHOLt
10fthf6glu[l],13115,12DHCHOLt2
10fthf6glu[m],231691,12HTACRhr
10fthf7glu[c],20887,13DAMPPOX
10fthf7glu[l],217593,13DAMPPte
10fthf7glu[m],106557,14HMDZALThr
10fthf[c],16833,14HMDZhr
10fthf[l],54122,15KPROSTGF2c
10fthf[m],16832,17AHPRGNLONEte
11docrtsl[c],16828,17AHPRGSTRNte
11docrtsl[m],80879,1A25DHVITD3te
11docrtsl[r],20503,1HIBUP_SGLUhep
11docrtstrn[c],20501,1HMDGLUChr
11docrtstrn[m],232156,1OHMDZhr
11docrtstrn[r],54403,21HPRGNLONE
13dampp[c],18293,24_25VITD2Hm
h2o[c],13382,24_25VITD3Hm
o2[c],27402,25HVITD3c
bamppald[c],78920,25VITD2Hm
h2o2[c],100417514,25VITD3Hm
nh4[c],26876,2AMACHYD
2425dhvitd2[m],11522,2AMACSULT
h[m],11529,2AMADPTm
nadph[m],11532,2H3MVc
o2[m],76187,2HATVACIDGLUChr
1a2425thvitd2[m],12846,2HATVACIDGLUCteb
h2o[m],72472,2HATVACIDhc
nadp[m],11670,2HATVACIDOXDhc
1a25dhvitd2[m],73458,2HATVACIDteb
1mncam[c],621603,2HATVACIDthc
atp[c],56847,2HATVLACGLUChr
1mncam[e],67689,2HATVLACGLUCteb
adp[c],15445,2HATVLACOXDhc
h[c],268860,2HATVLACteb
pi[c],70750,2HATVLACthc
1pipdn2c[x],107766,2HBO
h[x],52430,2HBt2
nadh[x],23923,2HCO3_NAt
Lpipecol[x],70266,2HIBUP_SGLUhep
nad[x],13195,2HIVc
2425dhvitd2[c],17161,2HYDOGOAT3t
2425dhvitd2[e],109731,2HYOXPLCte
2425dhvitd3[c],50799,2M3OVCOAm
2425dhvitd3[e],78830,2MB2COAc
2425dhvitd3[m],246277,2OBUTt
25hvitd2[m],14415,2OXOADOXm
25hvitd3[m],14417,2OXOADPTm
24nph[e],14718,34DHALDD
24nph[c],14719,34DHOXMANDte
25hvitd2[c],212647,34DHOXPEGOX
25hvitd2[e],17250,34DHPEAR
25hvitd3[c],20859,34DHPHAMT
25hvitd3[e],629219,34DHPHAte
1a25dhvitd3[m],434264,34DHPHELAT1tc
