mets,mets_name,genes,rxns,subsystems
h[c],Proton,100039707,UAGDP,Aminosugar metabolism
acgam1p[c],N-Acetyl-D-Glucosamine 1-Phosphate,100040843,AMY1e,Starch and sucrose metabolism
ppi[c],Diphosphate,100041273,EX_n5m2masn_e,Exchange/demand reaction
utp[c],Uridine-5-TrIphosphate,100041585,BTNt2i,"Transport, extracellular"
uacgam[c],Uridine-5-Diphosphate-N-Acetyl-Alpha-D-Glucosamine,100042503,HMR_3708,Cholesterol metabolism
h2o[e],Water,100043684,EX_3octdece1crn_e,Exchange/demand reaction
strch1[e],"Starch, Structure 1 (1,6-{7[1,4-Glc], 4[1,4-Glc]})",100043686,NDP7ex,Nucleotide interconversion
glc__D[e],D-Glucose,100043688,r0795,Miscellaneous
strch2[e],"Starch, Structure 2 (1,6-{2[1,4-Glc], [1,4-Glc]})",100163,ACOAD8m,"Valine, leucine, and isoleucine metabolism"
n5m2masn[e],((N-Acetyl-D-Glucosaminyl)5-(Alpha-D-Mannosyl)2-Beta-D-Mannosyl-Diacetylchitobiosyl)-L-Asparagine (Protein),100198,HMR_3714,Cholesterol metabolism
h[e],Proton,100328588,DHPM1,Pyrimidine catabolism
btn[c],Biotin,100417514,ARGORNt7,"Transport, extracellular"
btn[e],Biotin,100503991,RE1526M,Fatty acid oxidation
h[r],Proton,100678,PE17_HSABCt,"Transport, extracellular"
h2o[r],Water,100705,HMR_0810,Glycosphingolipid metabolism
chsterol[r],Cholesterol,100862375,EX_M01111_e,Exchange/demand reaction
M01235[r],9Z-Eicosenoic Acid,101488,HMR_0272,Fatty acid oxidation
M01484[r],Cholesterol-Ester-9-Eicose,101490,NTD6,Nucleotide interconversion
3octdece1crn[e],3-Hydroxy-Octadecenoyl Carnitine,101502,CYTK10,Nucleotide interconversion
pi[e],Orthophosphate,101744,PRPPS,Pentose phosphate pathway
udp[e],Uridine Diphosphate,102247,DPGase,Glycolysis/gluconeogenesis
ump[e],Uridine-5-Monophosphate,102294,AMY2e,Starch and sucrose metabolism
h2o[c],Water,102448,LACZe,Galactose metabolism
so4[c],Sulfate,102570,HMR_0003,Glycerophospholipid metabolism
HC00250[c],Hydrosulfide,102631912,RE2625C,Bile acid synthesis
HC01501[c],Thiosulfate,102632,PHYTt,"Transport, extracellular"
fad[m],Flavin Adenine Dinucleotide Oxidized,102680,HISDC,Histidine metabolism
fadh2[m],Flavin Adenine Dinucleotide Reduced,102857,GGH_5DHFe,Folate metabolism
ivcoa[m],Isovaleryl Coenzyme A,103142,EBP2r,Cholesterol metabolism
3mb2coa[m],3-Methylbut-2-Enoyl Coenzyme A,103149,HMR_0586,Glycerophospholipid metabolism
M01582[r],11Z-Docosenoic Acid,103199,ACS2,Propanoate metabolism
M01457[r],Cholesterol-Ester-11-Docose,103466,PCHOLPALME_HSPLA2,Glycerophospholipid metabolism
56dura[c],"5,6-Dihydrouracil",103850,r1900,"Transport, extracellular"
cala[c],N-Carbamoyl-Beta-Alaninate,103988,r1779,"Transport, extracellular"
orn[c],Ornithine,104015,EX_fvs_e,Exchange/demand reaction
arg__L[e],L-Arginine,104086,C160CRNt,Fatty acid oxidation
arg__L[c],L-Arginine,104110,ACGAMtly,"Transport, lysosomal"
orn[e],Ornithine,104111,GLUDym,Glutamate metabolism
h[m],Proton,104112,C4DCCACT,Fatty acid oxidation
nad[m],Nicotinamide Adenine Dinucleotide,104130,R00100,
nadh[m],Nicotinamide Adenine Dinucleotide - Reduced,104174,EX_aracheth_e,Exchange/demand reaction
CE2417[m],"3(S)-Hydroxy-5Z,8Z-Tetradecadienoyl Coenzyme A",104245,HMR_2964,Fatty acid synthesis
CE2424[m],"3-Oxo-Cis,Cis-5,8-Tetradecadienoyl Coenzyme A",104418,GLUDC,Glutamate metabolism
atp[c],Adenosine Triphosphate,104759,LCAT15e,Cholesterol metabolism
adp[c],Adenosine Diphosphate,104776,ACOADH120_m,Fatty acid oxidation
pi[c],Orthophosphate,104816,HMR_0389,Fatty acid synthesis
pe17_hs[e],1-Heptadecanoylglycerophosphoethanolamine (C17:0 Pe),104923,CHSTEROLt1,"Transport, mitochondrial"
pe17_hs[c],1-Heptadecanoylglycerophosphoethanolamine (C17:0 Pe),105014,MTHFD2i,Folate metabolism
udp[c],Uridine Diphosphate,105243,OCT11EFATP_1,Fatty acid oxidation
gbside_hs[c],Globoside,105349,HMR_0634,Glycerophospholipid metabolism
udpacgal[c],Uridine-5-Diphosphate-N-Acetyl-D-Galactosamine,105355,RE3113C,Fatty acid oxidation
M02197[c],"N-Acetyl-D-galactosaminyl-N-Acetyl-D-galactosaminyl-1,3-D-galactosyl-1,4-D-galactosyl-1,4-D-glucosylceramide",105446,HMR_2673,"Transport, mitochondrial"
M01111[e],5-L-Gamma-Glutamyl Amino Acid,105663,HMR_2193,Fatty acid synthesis
coa[c],Coenzyme A,105727,LDH_Lm,Pyruvate metabolism
M00115[c],7Z-Octadecenoic Acid,106407,PPMI12346Ptn,"Transport, nuclear"
M00116[c],7Z-Octadecenoyl Coenzyme A,106529,NABTNO,Arginine and proline metabolism
damp[c],Deoxyadenosine Monophosphate,106557,UMPK5n,Nucleotide interconversion
dad_2[c],2-Deoxyadenosine,106564,HMR_2884,"Transport, endoplasmic reticular"
cmp[c],Cytidine 5-Monophosphate,106648,ACNMCT,Aminosugar metabolism
dgtp[c],Deoxyguanosine-5-Triphosphate,107029,r2113,"Transport, extracellular"
cdp[c],Cytidine-5-DIphosphate,107146,HOXG,Heme degradation
dgdp[c],Deoxyguanosine-5-Diphosphate,107239,HMR_0629,Glycerophospholipid metabolism
amp[c],Adenosine Monophosphate,107272,GALASE20ly,Keratan sulfate degradation
prpp[c],5-Phospho-Alpha-D-Ribose 1-Diphosphate,107476,HMR_3072,Fatty acid oxidation
r5p[c],Alpha-D-Ribose 5-Phosphate,107569,PCHOLN201_HSABCt,"Transport, extracellular"
23dpg[c],"2,3-Bisphosphonato-D-Glycerate",107585,HSD17B4x,Bile acid synthesis
3pg[c],3-Phospho-D-Glycerate,107605,HMR_3235,Fatty acid oxidation
glygn2[e],"Glycogen, Structure 2 (Glycogenin-1,6-{7[1,4-Glc], 4[1,4-Glc]})",107650,ALAPAT4te,"Transport, extracellular"
glygn4[e],"Glycogen, Structure 4 (Glycogenin-1,6-{2[1,4-Glc], [1,4-Glc]})",107652,DATPtn,"Transport, nuclear"
