Gene,GSM4751074,GSM4751075,GSM4751076,GSM4751077,GSM4751078,GSM4751079,GSM4751080,GSM4751081,GSM4751082,GSM4751083,GSM4751084,GSM4751085,GSM4751086,GSM4751087,GSM4751088,GSM4751089,GSM4751090,GSM4751091,GSM4751092,GSM4751093,GSM4913330,GSM4913331,GSM4913332,GSM4913333,GSM4913334,GSM4913335,GSM4913336,GSM4913337,GSM4913338,GSM4913339,GSM4913340,GSM4913341,GSM4913342,GSM4913343,GSM4913344,GSM4960153,GSM4960154,GSM4960155,GSM6435238,GSM6435239,GSM6435240,GSM6435241,GSM6506766,GSM6506768,GSM6506769,GSM6614483,GSM6614484,GSM6614485,GSM6753921,GSM6753922,GSM6753923,GSM6845651,GSM6845652,GSM6845653,GSM6845654,GSM6964918,GSM6964919,GSM6964920,GSM7012039,GSM7012040,GSM7083658,GSM7083659,GSM7083660,GSM7102172,GSM7102173,GSM7102174,GSM7300216,GSM7300217,GSM7300218,GSM7300219,GSM7329492,GSM7329493,GSM7329494,GSM7329495,GSM7329500,GSM7329501,GSM7329502,GSM7329506,GSM7329507,GSM7329508,GSM7427996,GSM7427997,GSM7427998,GSM7427999,GSM7428004,GSM7428005,GSM7428006,GSM7428007,GSM7509810,GSM7509811,GSM7509812,GSM7994873,GSM7994882
0610010K14Rik,5.296760947,5.597284335,5.375150611,5.116673139,5.465961324,5.139495457,5.367129332,5.406820007,5.315230138,5.359914834,5.154864703,5.369270052,5.054538661,4.864400065,5.046478472,4.880221055,4.818924997,4.922861022,4.840408923,5.043530585,5.990419288,5.987263244,4.9696708,6.228023119,4.765194655,4.615557229,5.357753882,4.869505534,4.762775974,4.385673672,4.829303325,6.220517839,5.445228308,5.479646942,6.458096248,3.163832556,3.05095884,2.813314633,0.625317598,0.955745851,0.191540637,0.390904731,6.359909352,6.259956334,5.895004418,3.728067985,3.713270702,3.632469885,2.023967956,1.892328125,2.41653733,3.283590647,2.97937682,2.764848531,3.384429066,0.18107454,-0.183134139,0.110343901,-1.170033376,0.281829047,5.50282267,5.715281365,6.046775587,3.632039446,3.83879746,3.71482244,2.1782684,2.11555278,1.956552503,2.130041795,-0.03461596,0.200993317,0.641835124,0.515206692,0.614920608,0.636556344,0.727285554,-0.335990209,-0.349754408,0.195992925,1.027373171,0.912804977,0.883319618,1.159658576,0.981960124,1.109106584,0.863824741,0.656088981,4.324615813,4.189226671,4.331342983,5.587561821,5.734608942
0610030E20Rik,4.032468756,4.305103581,4.186813071,4.151531729,4.286339194,4.115099694,4.097186561,4.071335468,4.106593689,4.33255121,4.28548804,3.846167046,4.441920795,4.580807577,4.462273113,4.546330603,4.333537221,4.670953436,4.312156316,4.310129704,3.223850797,2.319648174,4.042073876,3.664594371,4.022248732,3.695767566,4.362789641,4.216316101,4.094589958,3.837037816,4.335354541,4.594383837,3.897252401,4.532677923,5.238204924,3.738194553,3.724541449,3.665328613,4.210628642,4.389979964,4.361227304,4.367745301,4.101399842,4.032020387,4.131409367,3.633255888,3.426561405,2.77530854,3.861486809,3.714134774,3.895726405,5.717338219,5.442107755,5.494873139,5.913886629,4.360681648,4.474568567,4.394252425,4.674133329,4.609847726,4.467477019,4.378019795,4.497412379,4.16564002,4.504281517,4.173283351,3.993926942,3.975918398,4.053351955,4.050396529,5.415397817,5.599688571,5.739640563,5.523693713,5.712940747,5.802619767,5.593021248,5.041779091,4.870373428,5.039709354,4.209810556,4.247315428,3.997184717,4.366803993,4.404433406,4.40311222,3.985322045,4.328199072,4.708543107,4.379704096,4.539218054,4.652900246,4.738488608
0610040J01Rik,2.475393891,2.199986866,2.277106055,2.305991908,2.247333098,2.31919891,2.290955503,1.931487124,2.400723066,2.076944888,1.985649158,2.082159221,2.092071015,1.649672791,2.20996187,1.876471368,1.638899172,1.609747471,1.781298863,2.146150704,2.702231255,-2.802069124,3.699237314,5.148796434,3.217050179,3.669590947,3.009667874,4.763442872,4.029400025,3.559751602,3.864660912,4.712003312,4.84362372,4.814770951,4.557661416,1.721036599,2.036829228,2.127693495,2.289359078,2.63162649,1.982052818,2.757259487,2.493187331,2.641360789,2.131308175,2.866549038,2.383267269,2.407728528,4.061703393,3.939020565,4.230868204,3.565175038,3.661227666,3.749550488,3.528739284,2.242446069,2.212523964,1.982713077,0.430284965,1.254337421,2.401571197,2.343297594,2.446511117,-0.18722547,1.263308475,1.838915124,2.173079676,1.910944028,1.998480627,2.194749613,2.869162397,2.845216563,3.091150888,3.170122884,2.031566588,2.601829053,2.86979426,3.008569349,2.988790566,2.583958329,2.166280822,2.487954127,2.788424982,2.946316141,2.589203641,2.451552755,2.476426578,2.441571026,2.275820871,2.464691466,2.240587892,2.543085881,2.648612581
1110004F10Rik,6.839264953,6.725928489,6.853732686,6.971440576,6.87746343,6.928804903,6.790012093,6.817727967,6.906073793,6.830970122,6.932302646,7.039769372,6.756214843,6.700814008,6.988749902,6.949962001,6.864668822,6.77613778,6.967948821,6.858978285,8.412279021,8.697134724,8.128314767,8.64870466,7.794123927,8.392826284,8.844318175,7.990895459,8.342415364,7.320508442,7.984019641,8.741879861,9.268650382,8.468439157,8.83177414,6.108161135,6.051880706,6.065100611,6.704459944,6.709506335,6.71933363,6.633424019,7.950373618,7.966259307,7.874822606,7.121178974,7.094294899,6.802788731,8.722818497,8.554870763,8.484499152,6.12933422,5.921219973,5.847738401,5.880646715,6.999595318,6.948656996,7.156408232,6.228807082,6.232816932,7.500809719,7.466767271,7.893431294,6.52396515,6.516871726,6.5207603,5.913436394,5.879323893,5.944190142,5.927309451,6.667428928,6.736376851,6.681663856,6.634052472,6.689683443,6.635516177,6.774492713,6.716174873,6.616472589,6.754522142,7.230447144,7.341173645,7.548436025,7.471737904,7.233980597,7.153519586,7.249855218,7.186489788,6.800118722,6.649724844,6.888849855,7.274022542,7.415195811
1110017D15Rik,2.132986192,2.465643631,2.296288558,2.235734857,2.154119247,2.114224662,1.98548514,2.097153659,2.105056157,2.324615887,2.302798526,1.923421558,2.014362162,1.846023274,2.268083676,2.333396646,1.671300986,2.743502452,2.427594046,2.945184571,2.370430991,2.555430985,2.001987357,3.053844411,0.887233078,2.020646249,4.379704829,4.805970137,4.277277236,3.769503956,4.025973992,3.347879334,2.267195852,1.738497597,3.870634824,1.319058724,1.111540899,0.134642078,0.308457834,0.493006302,-0.637822936,0.590582294,1.601101635,0.658020276,1.007879342,1.905869813,0.240255402,0.875142051,2.57230939,1.931326469,2.688267245,0.715896786,-0.171518319,1.171841768,0.463941624,0.843146898,1.629009344,0.75940732,4.248527249,3.958497521,2.136685815,2.105714097,1.976184384,1.607049818,1.720498571,1.650925854,0.979347311,1.09263869,1.417664018,1.234877068,-0.304523529,0.675046867,0.175138415,0.229016156,0.028670031,-0.120985423,0.334625518,0.585045232,0.512028443,-0.081482286,0.956276787,0.912804977,0.276910856,1.386350887,1.027374517,0.528639101,1.073966904,0.784688389,0.773854025,0.355360909,0.282006674,1.829589259,1.586293288
1110032F04Rik,3.381859866,4.004698332,3.469280225,3.138580832,3.377466328,3.540653093,3.380681887,3.517535057,3.381002797,3.345735713,3.365851581,2.807738599,3.028610618,2.985517995,3.098698354,2.704000619,2.947124115,2.627955407,2.750891269,3.051304784,4.417978079,2.689731962,3.962725871,2.675677134,4.094318241,3.228031125,2.824398798,2.471661702,2.406292561,3.511933047,2.154396111,4.953206142,5.028481893,4.852239697,4.027501213,3.962498506,3.908066482,3.812592682,4.853875581,4.716336823,4.256769276,4.570437337,5.047928075,5.340244059,5.232253547,4.223914313,3.75391501,4.084138629,4.657409019,6.201304085,6.207526339,0.060538489,1.419415214,0.355383111,0.463941624,3.96280687,3.856913946,4.070353016,3.165683931,2.916929591,5.102391032,5.022571255,4.832942202,2.456770417,3.28907649,2.258374762,5.165131704,4.982666779,4.884906966,4.900911162,0.192665893,-0.509778201,-0.519046649,0.08098577,0.392098956,-0.81921247,0.17576042,-0.232383606,0.940647387,0.144603821,4.560793441,4.612256814,4.878745959,4.111601126,4.465516567,4.435956178,4.309834356,4.304260166,2.662401118,3.405159566,2.780499681,3.765300428,4.459252473
1110038F14Rik,3.864841364,3.838987117,3.85613429,3.996275207,3.926481669,3.748072031,3.555266279,3.906560601,3.778263382,3.68123594,4.068216123,4.166021691,3.94883214,3.776172353,3.883766465,3.840855872,3.68262279,3.813575265,3.806835707,4.155550434,5.304080908,5.491244993,4.648426522,5.608491839,4.522959834,4.406393906,5.609373378,4.49371572,4.776084668,4.375021112,4.743126453,6.193441169,5.60545297,5.232120964,6.134378444,3.611445921,3.089460722,3.535636005,3.905614507,3.845985191,3.686561607,3.769597338,4.586108089,4.938124533,4.698170307,4.27245487,3.992087118,4.248989949,5.213858796,5.080730497,5.150115392,4.316999876,4.42201979,4.352482516,4.502372361,4.118975137,4.199862337,4.235204903,4.322745286,4.07989809,5.257510573,5.208420151,5.49282598,3.840682472,3.969979051,3.705646262,3.650655122,3.454918148,3.65817124,3.520339815,3.268817128,2.963655633,2.97160685,3.123582993,3.354073297,3.141181127,2.982092958,3.130190525,2.723793716,3.04274906,4.528480376,4.724987067,4.692633605,4.848221528,4.496124791,4.639542411,4.227069915,4.592594101,3.98970238,3.693928407,4.192070963,5.813396562,5.631393296
1110059E24Rik,4.95353209,4.819927395,4.889010965,5.007959967,4.926726253,5.052774944,5.084240505,4.819989387,4.825670547,4.794865194,4.907729914,5.051038145,4.73451206,4.801247533,4.760072814,4.927072545,5.009975194,4.769669507,5.046180475,4.82584953,6.243572668,7.078156968,7.132942611,6.859000183,6.060231323,7.312015765,7.353109284,6.976429513,6.772072846,5.928949177,6.709702945,7.022689302,7.61182236,6.508464096,6.487271595,4.809543896,5.096545018,4.939481738,4.598926075,4.270742309,4.421295128,4.407982972,5.552478191,5.747252395,5.270042545,5.037410982,4.640143923,4.902732767,5.745880509,5.561058827,5.581434923,5.365249315,5.291181973,5.117218244,5.325707017,4.688927553,4.815821748,4.841893354,4.061776787,4.214775111,5.697715618,5.715281365,5.407773802,4.576682735,4.499325368,4.439949705,3.634142879,3.535138861,3.475993213,3.624668482,5.492156749,5.56604074,5.420756321,5.332330469,5.250211847,5.406325516,5.474294925,5.706780208,5.50405616,5.772394961,4.084832683,4.141030497,4.240048044,4.426678474,4.240557661,4.25881894,4.179582801,4.103123926,4.474457082,4.481025372,4.551267163,5.032857398,4.875287513
1110059G10Rik,3.614928809,3.457003221,3.404462112,3.762847054,3.555694978,3.499087916,3.589731342,3.360442246,3.489725,3.29161648,3.403510587,3.897545595,3.533286426,3.309795886,3.509982159,3.55294531,3.531967504,3.395883808,3.331638219,3.572990205,5.692169421,6.289914115,5.23385945,5.829314773,4.657505717,5.354630758,6.113747665,4.930360502,5.130576061,4.189890291,5.017943852,6.349747021,6.123165038,5.591886195,6.112800098,3.922376858,3.92235644,4.020812822,3.642998112,3.320372296,3.516022218,3.523226003,3.996999265,4.112673907,4.048433575,4.070148227,3.914225975,4.251279038,3.761024457,3.724938802,3.679961101,3.528160155,3.555569637,3.231618145,3.98170781,3.831807644,3.889908035,4.070353016,2.551625026,2.780302509,5.244078118,5.312785992,4.999498135,4.105318149,4.101711224,3.816355473,4.203118172,4.135995216,4.004336564,3.989862095,4.728947295,4.800498571,4.774686997,4.500221973,4.672104446,4.741203371,4.710309629,4.772754466,4.351873582,4.718034813,3.96620135,4.063518007,4.218747609,4.390529943,4.077407893,4.157431374,4.017453256,4.023905354,4.619412948,4.109190937,4.545255187,5.326523451,5.252944713
1110065P20Rik,5.21925035,5.603040368,5.43479194,4.873955552,5.335116279,4.951973787,5.355730554,5.255677298,5.187080108,5.233247559,5.255379922,5.381814398,4.718849149,4.646958758,4.934286818,4.592274448,4.484767198,4.628636075,4.630156261,4.784683491,7.391675834,6.837629541,6.143011259,7.314799075,6.023784931,6.63447098,6.541880457,5.919236816,6.235930658,5.460979062,5.840828818,7.374748898,6.648326785,6.325748494,7.572086404,4.272823273,3.819220274,3.920455975,5.054708138,4.697965562,4.557538387,4.758539907,6.834671901,6.812699752,6.803817802,5.970154957,5.681271735,5.550965981,4.688249109,5.052652206,5.389257187,3.509290382,3.421647996,3.128309655,3.265856289,4.836243567,4.843034305,5.174034336,2.821110399,2.116135038,6.385958848,6.503901195,6.355441591,3.344338982,3.251251759,3.210881931,4.175237417,4.021709022,4.090392675,4.217621889,3.044459377,3.073104737,3.249058154,3.188326449,2.979563507,3.045786812,2.803409549,3.312556104,3.133687294,3.137797178,5.434183145,5.546897003,5.812625411,5.733577646,5.660497996,5.625929169,5.64310369,5.703616878,4.751124843,4.796192821,4.715534538,6.444986669,6.199009445
