mCADRE_brain_genes,rFASTACOROMICS_brain_genes,CORDA_brain_genes,ftINIT_brain_genes
100040843,100039707,11754,100039707
100041585,100040843,76507,100040843
100042025,100041375,237940,100041375
100043456,100041449,231691,100041449
100043684,100041585,20887,100041585
100043686,100042025,217593,100042025
100043688,100043456,106557,100043456
100198,100043684,16833,100043684
100417514,100043686,54122,100043686
100503991,100043688,16832,100043688
100559,100163,16828,100163
100678,100198,80879,100198
100705,100417514,20503,100328588
100727,100503991,20501,100417514
100862375,100678,232156,100503895
100910,100705,54403,100503991
101488,100862375,18293,100559
101490,100910,13382,100678
101502,101488,27402,100705
101744,101490,78920,100727
102247,101502,100417514,100862375
102294,101744,26876,100910
102632,102247,11522,101488
103142,102294,11529,101490
103149,102632,11532,101502
103199,102857,76187,101744
103466,103142,12846,102247
103850,103199,72472,102294
103988,103466,11670,102448
104015,103711,73458,102570
104086,103850,621603,102632
104110,103988,56847,102680
104111,104015,67689,103142
104174,104086,15445,103149
104418,104110,268860,103199
104759,104111,70750,103466
104776,104112,52430,103711
104923,104174,23923,103850
105014,104418,70266,103988
105243,104759,13195,104015
105446,104776,17161,104086
105727,104923,109731,104110
106407,105014,50799,104111
106529,105243,78830,104158
106557,105349,246277,104174
106564,105446,14415,104245
106648,105663,14417,104418
107029,106529,14718,104759
107146,106557,14719,104776
107272,106564,212647,104816
107476,106648,17250,105014
107569,107029,20859,105243
107585,107146,629219,105349
107605,107239,434264,105355
107650,107272,629203,105446
107652,107476,434121,105663
107723,107569,20509,105727
107747,107585,11761,106407
107823,107605,110877,106529
107895,107650,214084,106557
108037,107652,14275,106564
108083,107723,14276,106648
108096,107747,17159,107029
108105,107823,239559,107146
108115,107869,333424,107239
108116,107885,80908,107272
108147,107895,215335,107476
108148,108037,232333,107569
108150,108052,243616,107585
108155,108083,14412,107605
108156,108096,14411,107626
108645,108105,110446,107650
108682,108114,231086,107652
108841,108115,52538,107723
108902,108116,97212,107747
109136,108147,224530,107766
109264,108148,110460,107823
109652,108150,235674,107869
109674,108155,100705,107885
109685,108156,11416,107895
109731,108645,68738,108037
109778,108682,380660,108052
109785,108841,54342,108083
109857,108902,56174,108096
109900,109264,109785,108105
109959,109342,327942,108114
110006,109652,11423,108115
110074,109674,104112,108116
110078,109685,94181,108147
110095,109697,235504,108148
110119,109731,67311,108150
110147,109754,11433,108155
110173,109778,66659,108156
110175,109785,66885,108645
110196,109801,11364,108682
110197,109857,11409,108841
110198,109900,102632,108902
110208,109959,66948,109136
110323,110006,229211,109264
110385,110074,56357,109342
110391,110078,74156,109652
110417,110095,11430,109674
110446,110119,109652,109685
110460,110147,11429,109697
110524,110173,11428,109731
110639,110175,93732,109754
110695,110196,11431,109778
110826,110197,56318,109785
110842,110198,57279,109791
110855,110208,60525,109857
110877,110323,78894,109900
110895,110385,13106,109959
110911,110391,11486,110006
110948,110417,13340,110078
111175,110446,11639,110095
112417,110460,11637,110115
11303,110524,229949,110147
11363,110639,56248,110173
11364,110695,11702,110175
11370,110826,100041585,110196
11409,110842,11512,110197
11416,110855,271639,110198
11423,110891,104111,110208
11428,110893,11514,110323
11429,110895,210044,110385
11430,110911,11513,110391
114304,110948,432530,110417
11431,111175,104110,110446
11432,11303,11515,110460
11433,11363,224129,110524
114479,11364,63959,110611
114644,11370,114304,110639
114663,11409,71279,110695
114664,11416,53893,110826
11486,11421,12494,110842
114875,11423,12895,110855
11512,11428,78070,110877
11513,11429,12894,110891
11514,11430,12896,110893
11515,114304,23972,110895
