mCADRE_brain_metabolites,rFASTACOROMICS_brain_metabolites,CORDA_brain_metabolites,ftINIT_brain_metabolites
10fthf5glu[c],10fthf5glu[c],10fthf5glu_c,10fthf5glu[c]
10fthf5glu[l],10fthf5glu[l],10fthf5glu_l,10fthf5glu[l]
10fthf6glu[c],10fthf5glu[m],10fthf5glu_m,10fthf5glu[m]
10fthf6glu[l],10fthf6glu[c],10fthf6glu_c,10fthf6glu[c]
10fthf7glu[c],10fthf6glu[l],10fthf6glu_l,10fthf6glu[l]
10fthf7glu[l],10fthf6glu[m],10fthf6glu_m,10fthf6glu[m]
10fthf[c],10fthf7glu[c],10fthf7glu_c,10fthf7glu[c]
10fthf[l],10fthf7glu[l],10fthf7glu_l,10fthf7glu[l]
10fthf[m],10fthf7glu[m],10fthf7glu_m,10fthf7glu[m]
13dampp[c],10fthf[c],10fthf_c,10fthf[c]
h2o[c],10fthf[l],10fthf_l,10fthf[l]
o2[c],10fthf[m],10fthf_m,10fthf[m]
bamppald[c],13dampp[c],11docrtsl_c,11docrtsl[c]
h2o2[c],h2o[c],11docrtstrn_c,11docrtsl[m]
nh4[c],o2[c],13dampp_c,11docrtsl[r]
h[m],bamppald[c],h2o_c,11docrtstrn[c]
nadph[m],h2o2[c],o2_c,11docrtstrn[m]
o2[m],nh4[c],bamppald_c,11docrtstrn[r]
h2o[m],h[m],h2o2_c,13dampp[c]
nadp[m],nadph[m],nh4_c,h2o[c]
atp[c],o2[m],h_m,o2[c]
adp[c],h2o[m],nadph_m,bamppald[c]
h[c],nadp[m],o2_m,h2o2[c]
pi[c],atp[c],h2o_m,nh4[c]
h[x],adp[c],nadp_m,2425dhvitd2[m]
nadh[x],h[c],1mncam_c,h[m]
nad[x],pi[c],atp_c,nadph[m]
2amac[c],h[x],1mncam_e,o2[m]
pyr[c],nadh[x],adp_c,1a2425thvitd2[m]
nadph[c],nad[x],h_c,h2o[m]
paps[c],2amac[c],pi_c,nadp[m]
Lcyst[c],pyr[c],h_x,1a25dhvitd2[m]
nadp[c],nadph[c],nadh_x,1mncam[c]
pap[c],paps[c],Lpipecol_x,atp[c]
L2aadp[c],Lcyst[c],nad_x,1mncam[e]
akg[m],nadp[c],24nph_e,adp[c]
L2aadp[m],pap[c],24nph_c,h[c]
akg[c],L2aadp[c],2amac_c,pi[c]
2dr1p[c],akg[m],pyr_c,h[x]
2hb[c],L2aadp[m],nadph_c,nadh[x]
nad[c],akg[c],paps_c,Lpipecol[x]
2obut[c],2dr1p[c],Lcyst_c,nad[x]
nadh[c],drib[c],nadp_c,2425dhvitd2[e]
2hb[e],2hb[c],pap_c,2425dhvitd3[c]
h[e],nad[c],L2aadp_c,2425dhvitd3[e]
hco3[e],2obut[c],akg_m,2425dhvitd3[m]
na1[e],nadh[c],L2aadp_m,25hvitd2[m]
