mCADRE_brain_rxns,rFASTACOROMICS_brain_rxns,CORDA_brain_rxns,ftINIT_brain_rxns
10FTHF7GLUtl,10FTHF7GLUtl,10FTHF5GLUtl,10FTHF7GLUtl
10FTHFtl,10FTHF7GLUtm,10FTHF5GLUtm,10FTHF7GLUtm
13DAMPPOX,10FTHFtl,10FTHF6GLUtl,10FTHFtl
2AMACSULT,13DAMPPOX,10FTHF6GLUtm,11DOCRTSLtm
2HBO,2AMACSULT,10FTHF7GLUtl,11DOCRTSLtr
2HBt2,2DR1PP,10FTHF7GLUtm,11DOCRTSTRNtm
2HCO3_NAt,2HBO,10FTHFtl,11DOCRTSTRNtr
2OXOADOXm,2HBt2,10FTHFtm,13DAMPPOX
34DHPHAMT,2HCO3_NAt,13DAMPPOX,1a_24_25VITD2Hm
34DHPLACOX_NADP,2OXOADOXm,24NPHte,1a_25VITD2Hm
34DHXMANDACOX_NADP,34DHOXPEGOX,2AMACHYD,1MNCAMti
34HPPOR,34DHOXPEGt,2AMACSULT,24_25DHVITD3t
35CGMPtn,34DHPHAMT,2AMADPTm,24_25DHVITD3tm
3AIBTm,34DHALDD,2DR1PP,24_25VITD2Hm
3DPHBH2,34DHPLACOX_NADP,2HBO,24_25VITD3Hm
3DSPHR,34DHXMANDACOX,2HBt2,24NPHte
3HLYTCL,34DHXMANDACOX_NADP,2HCO3_NAt,25HVITD2tin_m
3M4HDXPAC,34HPLFM,2OXOADOXm,25HVITD3tin_m
3MOPt2im,34HPPOR,2OXOADPTm,25VITD2Hm
3MOX4HOXPGALDOX_NADP,35CGMPtn,34DHOXPEGOX,25VITD3Hm
3MOXTYROX,3AIBTm,34DHPHAMT,2AMACHYD
3SALACBOXL_cho,3DPHBH2,34DHPHEt,2AMACSULT
3SALATAi,3DSPHR,34DHALDD,2AMADPTm
3SPYRSP,3HBCDm,34DHPLACOX_NADP,2DR1PP
41R1H2MAE12BOOX,3HBCOAHLm,34DHXMANDACOX,2HBO
41R2A1H12BOOX,3HLYTCL,34DHXMANDACOX_NADP,2HBt2
42A12BOOX,3M4HDXPAC,34HPPOR,2HCO3_NAt
4ABUTtm,3MLDAt,35CGMPtn,2OXOADPTm
4HBZCOAFm,3MOX4HOXPGALDOX,3AIBTm,34DHOXPEGOX
4HBZFm,3MOX4HOXPGALDOX_NADP,3AIBtm,34DHOXPEGt
4HOXPACDOX_NADP,3MOXTYROX,3DPHBH1,34DHPHEt
4MOPt2im,3SALAASPm,3DSPHR,34DHALDD
4MPTNLte,3SALACBOXL_cho,3HBCDm,34DHPLACOX_NADP
4MPTNLtm,3SALATAi,3HLYTCL,34DHXMANDACOX
5ADTSTSTERONEGLCte,3SALATAim,3M4HDXPAC,34DHXMANDACOX_NADP
5ADTSTSTERONEGLCtr,3SPYRSP,3MLDAt,34HPLFM
5ADTSTSTERONEtr,3SPYRSPm,3MOX4HOXPGALDOX,34HPPOR
5AOPtm,41R1H2MAE12BOOX,3MOX4HOXPGALDOX_NADP,35CGMPtn
5HLTDL,41R2A1H12BOOX,3MOXTYROX,3AIBTm
5HOXINDACTO2OX,42A12BOOX,3SALAASPm,3AIBtm
5HOXINOXDA,4ABUTtm,3SALACBOXL_cho,3DPHBH1
5MTHFt,4HDEBRISOQUINEte,3SALATAi,3DSPHR
7DHCHSTEROLtr,4HGLSDm,3SALATAim,3HAO
