Gene_ID	Gene	BrainRegion	ExpressionEnergy
ENSG00000000003	TSPAN6	amygdala	1.3
ENSG00000000003	TSPAN6	basal ganglia	0.9
ENSG00000000003	TSPAN6	cerebellum	1.3
ENSG00000000003	TSPAN6	hippocampal formation	1.5
ENSG00000000003	TSPAN6	hypothalamus	1.9
ENSG00000000003	TSPAN6	medulla oblongata	1.8
ENSG00000000003	TSPAN6	midbrain	1.9
ENSG00000000003	TSPAN6	olfactory bulb	0.9
ENSG00000000003	TSPAN6	pons	1.5
ENSG00000000003	TSPAN6	thalamus	0.9
ENSG00000000005	TNMD	amygdala	0.4
ENSG00000000005	TNMD	basal ganglia	0.2
ENSG00000000005	TNMD	cerebellum	0.4
ENSG00000000005	TNMD	hippocampal formation	0.7
ENSG00000000005	TNMD	hypothalamus	0
ENSG00000000005	TNMD	medulla oblongata	0.3
ENSG00000000005	TNMD	midbrain	0.1
ENSG00000000005	TNMD	olfactory bulb	0.6
ENSG00000000005	TNMD	pons	0.1
ENSG00000000005	TNMD	thalamus	0.1
ENSG00000000419	DPM1	amygdala	3
ENSG00000000419	DPM1	basal ganglia	2
ENSG00000000419	DPM1	cerebellum	0.6
ENSG00000000419	DPM1	hippocampal formation	3.4
ENSG00000000419	DPM1	hypothalamus	0.6
ENSG00000000419	DPM1	medulla oblongata	0.9
ENSG00000000419	DPM1	midbrain	0.6
ENSG00000000419	DPM1	olfactory bulb	2.4
ENSG00000000419	DPM1	pons	0.4
ENSG00000000419	DPM1	thalamus	1.6
ENSG00000000457	SCYL3	amygdala	0.3
ENSG00000000457	SCYL3	basal ganglia	0.2
ENSG00000000457	SCYL3	cerebellum	0.2
ENSG00000000457	SCYL3	hippocampal formation	0.5
ENSG00000000457	SCYL3	hypothalamus	0
ENSG00000000457	SCYL3	medulla oblongata	0.1
ENSG00000000457	SCYL3	midbrain	0.1
ENSG00000000457	SCYL3	olfactory bulb	0.5
ENSG00000000457	SCYL3	pons	0.1
ENSG00000000457	SCYL3	thalamus	0.1
ENSG00000000460	C1orf112	amygdala	0
ENSG00000000460	C1orf112	basal ganglia	0
ENSG00000000460	C1orf112	cerebellum	0
ENSG00000000460	C1orf112	hippocampal formation	0
ENSG00000000460	C1orf112	hypothalamus	0
ENSG00000000460	C1orf112	medulla oblongata	0.1
ENSG00000000460	C1orf112	midbrain	0
ENSG00000000460	C1orf112	olfactory bulb	0.2
ENSG00000000460	C1orf112	pons	0
ENSG00000000460	C1orf112	thalamus	0
ENSG00000000938	FGR	amygdala	0.2
ENSG00000000938	FGR	basal ganglia	0.1
ENSG00000000938	FGR	cerebellum	0
ENSG00000000938	FGR	hippocampal formation	0.2
ENSG00000000938	FGR	hypothalamus	0
ENSG00000000938	FGR	medulla oblongata	0.1
ENSG00000000938	FGR	midbrain	0
ENSG00000000938	FGR	olfactory bulb	0.2
ENSG00000000938	FGR	pons	0.1
ENSG00000000938	FGR	thalamus	0
ENSG00000001036	FUCA2	amygdala	1.6
ENSG00000001036	FUCA2	basal ganglia	1.2
ENSG00000001036	FUCA2	cerebellum	0.4
ENSG00000001036	FUCA2	hippocampal formation	1.2
ENSG00000001036	FUCA2	hypothalamus	0.9
ENSG00000001036	FUCA2	medulla oblongata	1.1
ENSG00000001036	FUCA2	midbrain	0.6
ENSG00000001036	FUCA2	olfactory bulb	1.6
ENSG00000001036	FUCA2	pons	0.7
ENSG00000001036	FUCA2	thalamus	0.7
ENSG00000001084	GCLC	amygdala	6.7
ENSG00000001084	GCLC	basal ganglia	5.6
ENSG00000001084	GCLC	cerebellum	2
ENSG00000001084	GCLC	hippocampal formation	4.2
ENSG00000001084	GCLC	hypothalamus	4.7
ENSG00000001084	GCLC	medulla oblongata	3.6
ENSG00000001084	GCLC	midbrain	2.9
ENSG00000001084	GCLC	olfactory bulb	4.5
ENSG00000001084	GCLC	pons	3.5
ENSG00000001084	GCLC	thalamus	3.5
ENSG00000001167	NFYA	amygdala	0.1
ENSG00000001167	NFYA	basal ganglia	0
ENSG00000001167	NFYA	cerebellum	0.2
ENSG00000001167	NFYA	hippocampal formation	0.1
ENSG00000001167	NFYA	hypothalamus	0
ENSG00000001167	NFYA	medulla oblongata	0
ENSG00000001167	NFYA	midbrain	0
ENSG00000001167	NFYA	olfactory bulb	0.2
ENSG00000001167	NFYA	pons	0
ENSG00000001167	NFYA	thalamus	0
ENSG00000001460	STPG1	amygdala	0.6
ENSG00000001460	STPG1	basal ganglia	0.6
ENSG00000001460	STPG1	cerebellum	0.7
ENSG00000001460	STPG1	hippocampal formation	0.8
ENSG00000001460	STPG1	hypothalamus	0.6
ENSG00000001460	STPG1	medulla oblongata	0.5
ENSG00000001460	STPG1	midbrain	0.2
ENSG00000001460	STPG1	olfactory bulb	1.2
ENSG00000001460	STPG1	pons	0.2
ENSG00000001460	STPG1	thalamus	0.5
ENSG00000001461	NIPAL3	amygdala	8.9
ENSG00000001461	NIPAL3	basal ganglia	5.9
ENSG00000001461	NIPAL3	cerebellum	2.7
ENSG00000001461	NIPAL3	hippocampal formation	8.3
ENSG00000001461	NIPAL3	hypothalamus	7.6
ENSG00000001461	NIPAL3	medulla oblongata	5.5
ENSG00000001461	NIPAL3	midbrain	7
ENSG00000001461	NIPAL3	olfactory bulb	7.6
ENSG00000001461	NIPAL3	pons	5.4
ENSG00000001461	NIPAL3	thalamus	6.3
ENSG00000001497	LAS1L	amygdala	1.2
ENSG00000001497	LAS1L	basal ganglia	1.4
ENSG00000001497	LAS1L	cerebellum	1.5
ENSG00000001497	LAS1L	hippocampal formation	1.6
ENSG00000001497	LAS1L	hypothalamus	1
ENSG00000001497	LAS1L	medulla oblongata	1.5
ENSG00000001497	LAS1L	midbrain	1.2
ENSG00000001497	LAS1L	olfactory bulb	1.7
ENSG00000001497	LAS1L	pons	1
ENSG00000001497	LAS1L	thalamus	1.5
ENSG00000001561	ENPP4	amygdala	0
ENSG00000001561	ENPP4	basal ganglia	0
ENSG00000001561	ENPP4	cerebellum	0.1
ENSG00000001561	ENPP4	hippocampal formation	0
ENSG00000001561	ENPP4	hypothalamus	0
ENSG00000001561	ENPP4	medulla oblongata	0.1
ENSG00000001561	ENPP4	midbrain	0
ENSG00000001561	ENPP4	olfactory bulb	0.1
ENSG00000001561	ENPP4	pons	0
ENSG00000001561	ENPP4	thalamus	0
ENSG00000001617	SEMA3F	amygdala	0.4
ENSG00000001617	SEMA3F	basal ganglia	0.9
ENSG00000001617	SEMA3F	cerebellum	0.7
ENSG00000001617	SEMA3F	hippocampal formation	0.3
ENSG00000001617	SEMA3F	hypothalamus	0.6
ENSG00000001617	SEMA3F	medulla oblongata	0.4
ENSG00000001617	SEMA3F	midbrain	2.1
ENSG00000001617	SEMA3F	olfactory bulb	1.2
ENSG00000001617	SEMA3F	pons	0.5
ENSG00000001617	SEMA3F	thalamus	0.7
ENSG00000001626	CFTR	amygdala	0
ENSG00000001626	CFTR	basal ganglia	0.1
ENSG00000001626	CFTR	cerebellum	0
ENSG00000001626	CFTR	hippocampal formation	0
ENSG00000001626	CFTR	hypothalamus	0
ENSG00000001626	CFTR	medulla oblongata	0
ENSG00000001626	CFTR	midbrain	0.1
ENSG00000001626	CFTR	olfactory bulb	0.2
ENSG00000001626	CFTR	pons	0.1
ENSG00000001626	CFTR	thalamus	0
ENSG00000001629	ANKIB1	amygdala	1.1
ENSG00000001629	ANKIB1	basal ganglia	0.5
ENSG00000001629	ANKIB1	cerebellum	0.7
