"Gene","TPM.amygdala.878","TPM.amygdala.879","TPM.amygdala.880","TPM.amygdala.881","TPM.caudate.putamen.846","TPM.caudate.putamen.847","TPM.caudate.putamen.848","TPM.caudate.putamen.849","TPM.cerebellum.850","TPM.cerebellum.851","TPM.cerebellum.852","TPM.cerebellum.853","TPM.corpus.callosum.882","TPM.corpus.callosum.883","TPM.corpus.callosum.884","TPM.entorhinal.cortex.826","TPM.entorhinal.cortex.827","TPM.entorhinal.cortex.828","TPM.entorhinal.cortex.829","TPM.frontal.cortex.834","TPM.frontal.cortex.835","TPM.frontal.cortex.836","TPM.frontal.cortex.837","TPM.hippocampal.formation.814","TPM.hippocampal.formation.815","TPM.hippocampal.formation.816","TPM.hippocampal.formation.817","TPM.hypothalamus.823","TPM.hypothalamus.824","TPM.hypothalamus.825","TPM.hypothalamus.822","TPM.midbrain.866","TPM.midbrain.867","TPM.midbrain.868","TPM.midbrain.869","TPM.occipital.cortex.842","TPM.occipital.cortex.843","TPM.occipital.cortex.844","TPM.occipital.cortex.845","TPM.olfactory.bulb.854","TPM.olfactory.bulb.855","TPM.olfactory.bulb.856","TPM.olfactory.bulb.857","TPM.pituitary.gland.885","TPM.pituitary.gland.886","TPM.pituitary.gland.887","TPM.pituitary.gland.888","TPM.pons.and.medulla.870","TPM.pons.and.medulla.871","TPM.pons.and.medulla.872","TPM.pons.and.medulla.873","TPM.retina.818","TPM.retina.819","TPM.retina.820","TPM.retina.821","TPM.retrosplenial.and.cingulate.cortex.830","TPM.retrosplenial.and.cingulate.cortex.831","TPM.retrosplenial.and.cingulate.cortex.832","TPM.retrosplenial.and.cingulate.cortex.833","TPM.septum.874","TPM.septum.875","TPM.septum.876","TPM.septum.877","TPM.somatosensory.cortex.838","TPM.somatosensory.cortex.839","TPM.somatosensory.cortex.840","TPM.somatosensory.cortex.841","TPM.thalamus.862","TPM.thalamus.863","TPM.thalamus.864","TPM.thalamus.865","TPM.ventral.forebrain.858","TPM.ventral.forebrain.859","TPM.ventral.forebrain.860","TPM.ventral.forebrain.861"
"0610030E20Rik",1.12903475,1.107809,1.000492,1.23099625,0.839847,0.84873725,0.88159125,0.65617125,2.1008675,2.23347575,2.39260625,2.5173225,0.81843,0.7281085,0.519333,1.1188925,1.288444,1.33924125,0.99514475,0.92847025,0.8973675,0.9444935,0.88628975,1.1279905,1.38036275,1.20445725,1.463793,0.59482825,0.9982255,1.06562975,0.84870425,1.51202275,1.74275225,1.68399075,1.55146075,0.9011005,1.0644175,1.1479195,1.0237275,1.49988225,1.24624575,1.819681,1.19627825,1.07242025,0.3642235,0.3516195,0.7428805,1.39912275,1.384315,1.39084,1.55388275,1.0784625,1.64534725,0.85143425,1.35940525,0.9967,0.7664105,0.7248815,1.1882275,0.694846,0.46327025,0.5755835,1.04169,1.01613825,0.89848575,0.9711935,1.3858425,1.2508555,1.038323,1.32767325,1.47405475,1.04609675,0.865588,0.60447475,1.170888
"1110002E22Rik",0.0916655,0.2466435,0.052699,0.3510585,0.047138,0.024391,0.0329985,0.033671,0.023992,0.0065595,0.0117875,0.0167465,0.249404,0.05343,0.034115,0.427701,0.396736,0.203535,0.291394,0.363877,0.222411,0.266429,0.344405,0.1590125,0.194611,0.191882,0.2240785,0.0218335,0.015347,0.0255625,0.020991,0.014803,0.012656,0.0071155,0.031323,0.563906,0.339697,0.366128,0.272872,0.4516085,0.476074,0.59418,0.475153,0.1508175,0.227371,0.1425455,0.280363,0.007812,0.0076575,0.0285945,0.00562,0.472685,0.1938185,0.288178,0.256706,0.7147865,0.49421,0.43282,0.4820295,0.0554025,0.009043,0.026464,0.0033345,0.255123,0.215237,0.2782,0.1717375,0.0180815,0.0132595,0.0206565,0.02018,0.037799,0.027275,0.036526,0.0890455
"1110004F10Rik",23.4121615,21.8243216666667,18.3795433333333,20.4947895,19.1417725,17.4687876666667,18.1190175,17.2567578333333,30.2574758333333,29.9031273333333,29.3724206666667,31.8042226666667,16.456262,16.2140698333333,15.5207106666667,20.8819083333333,23.4683366666667,21.5308865,19.4462566666667,23.4765223333333,20.5152521666667,18.7155851666667,17.8703801666667,25.1452795,22.7179083333333,22.2586481666667,22.05005,23.1458645,22.2351516666667,20.007828,23.0923776666667,20.5644961666667,20.9041636666667,20.0375645,19.576638,20.9410873333333,21.9142196666667,20.7063243333333,18.0872438333333,29.4929325,29.5652426666667,29.82211,25.9102878333333,16.1824735,14.0609736666667,12.2650693333333,15.368373,18.0781285,17.9976866666667,18.3073096666667,18.437157,23.5417693333333,24.4130431666667,24.5255738333333,18.1749665,21.2873356666667,19.0667298333333,18.7736633333333,18.3663405,24.2260676666667,24.7184115,21.9872291666667,23.964851,21.7852868333333,23.476647,18.7283491666667,20.1217665,21.2093493333333,20.9954725,20.5473928333333,20.726769,21.072593,19.1828755,18.4024533333333,20.908542
"1110032F04Rik",4.39101,4.88855,7.79835,5.20886,1.08745,1.08623,4.22425,3.57865,0.308833,0.674985,0.363227,0.761973,5.10922,8.6392,4.2192,11.9487,12.2288,8.26344,7.21198,11.7085,11.0752,14.833,10.7617,7.64957,8.58595,5.66903,6.77674,4.32963,4.36586,4.4317,4.13996,3.57385,3.91369,3.24332,3.79143,14.0984,12.9768,17.2447,12.756,4.29037,5.05427,4.21626,4.41336,0.430211,0.448007,0.187687,0.325206,2.64945,2.53645,2.2445,2.5212,1.31902,1.23763,1.00722,1.02124,15.2692,14.467,13.3416,14.9741,5.55847,2.79533,3.50229,2.60942,13.0862,13.3594,13.1108,11.8445,1.95422,1.53417,2.35433,2.20223,4.84821,4.42789,4.79961,6.00671
"1110038F14Rik",5.41392,5.9307125,4.749375,5.2903325,4.5373645,4.06130375,4.49550925,3.7285765,7.666729,7.72626625,7.8008675,7.146635,3.38764125,3.61399775,3.18260975,4.973726,5.35045275,4.39488175,3.97269275,4.468171,5.4323945,5.347151,4.486176,5.5599375,5.39732,4.92574925,6.4425325,3.33135025,3.136558,3.7456135,4.17176225,3.746723,3.568315,3.43416525,3.583405,5.0216495,3.9769895,5.125728,5.47294675,6.788985,4.45757575,4.8691275,5.0501075,7.5055425,5.47318375,5.56407025,6.7576535,5.16548,4.4394705,4.361118,4.628005,3.73331625,6.3047725,7.0885775,3.991209,5.27630725,5.062831,5.30616875,5.720714,4.177579,3.8073105,3.59416875,3.99763725,4.6289565,4.9860155,5.191475,4.8482275,4.74516,3.5283625,4.9012325,4.21069,5.2415485,3.95165125,3.92734825,4.431496
"1110059E24Rik",3.35678444444444,3.355346,2.72641144444444,3.20389433333333,3.37106622222222,3.48866344444444,3.56628222222222,3.13808966666667,6.92275055555556,8.03924222222222,7.50288477777778,8.26809888888889,2.407364,2.40643822222222,2.50973888888889,3.423337,3.92043644444444,3.275407,3.13202622222222,3.33657222222222,3.35273522222222,2.64528522222222,2.65777788888889,3.91752088888889,3.68647733333333,3.83850922222222,3.793462,4.41729611111111,4.72311644444444,4.06625211111111,5.07084522222222,4.93550944444444,5.23726133333333,5.06992044444444,5.533155,2.77474122222222,3.59096433333333,2.88698455555556,2.86500933333333,3.99703955555556,4.36748922222222,4.62014722222222,3.87222622222222,3.72250233333333,3.520953,2.46465188888889,3.24317166666667,4.42842188888889,4.98103088888889,5.01555788888889,4.957397,3.48824488888889,3.64918522222222,3.87409666666667,2.76349077777778,3.41329177777778,3.11939955555556,2.80840066666667,2.81514111111111,4.46134444444445,4.05196666666667,4.08755911111111,4.31019711111111,3.35111988888889,3.80349622222222,2.83849722222222,3.17857811111111,4.36178333333333,4.65812688888889,4.01765522222222,4.25339811111111,3.90396677777778,3.69906333333333,3.31363011111111,3.41150155555556
"1110059G10Rik",7.37295466666667,6.416276,6.845233,6.01475266666667,8.68297466666667,7.29205966666667,8.68827633333333,8.17146,11.702265,11.0988513333333,11.5950006666667,10.6862663333333,5.34836266666667,5.69084766666667,4.873228,7.01065366666667,6.92718466666667,6.32044633333333,6.506242,8.32993633333333,7.54519633333333,6.754264,6.69300433333333,8.39267933333333,7.408235,7.15575566666667,7.33366366666667,6.36761,5.577726,6.077953,4.92388833333333,7.01402733333333,6.52462466666667,6.436204,6.80992966666667,6.93423966666667,7.08565433333333,8.26891466666667,6.44970466666667,9.04350766666667,9.52960166666667,8.19809133333333,9.27058633333333,6.983971,5.61303833333333,4.41783233333333,5.656549,6.700288,6.04222933333333,7.567958,7.32582566666667,8.0642,9.808866,9.122313,6.93543733333333,7.21885766666667,6.55579833333333,6.776349,6.33325166666667,7.47428266666667,7.46458333333333,5.199564,7.41315733333333,7.784132,7.711651,6.82731466666667,8.847004,7.17221133333333,5.71677333333333,7.41942833333333,5.70008433333333,8.84367833333333,6.835457,6.12978133333333,8.17612333333333
"1110065P20Rik",15.682471,13.5740513333333,15.5099253333333,12.9134538333333,11.42752,12.6054666666667,9.86858333333333,9.85521516666667,16.1343651666667,16.066,16.0917616666667,13.8033893333333,12.7490816666667,13.3942618333333,14.69994,12.0196725,14.067207,13.127746,9.883016,11.1039966666667,14.7859216666667,14.1827966666667,13.1016395,13.9779333333333,13.686475,13.0875103333333,16.4881526666667,10.0720591666667,9.24227166666667,9.72975166666667,10.2617548333333,9.50409216666667,8.613365,8.411253,9.77255333333333,13.6326721666667,11.0773133333333,11.1320031666667,15.82036,10.7459196666667,7.94865833333333,7.54525833333333,7.12065333333333,8.04367383333333,9.04645933333333,11.1513455,8.55993566666667,11.3295486666667,9.67703766666667,12.6643706666667,10.3751066666667,7.379235,7.57521833333333,9.848285,5.14557016666667,13.3618903333333,13.6276973333333,12.210845,13.4437683333333,12.122992,12.7883428333333,12.3834868333333,10.7626841666667,12.1086133333333,11.981865,15.3450353333333,12.3084366666667,10.4997216666667,8.38512683333333,8.84697266666667,7.08001,12.921505,10.6046368333333,12.8157616666667,11.0733031666667
"1190005I06Rik",2.70796966666667,2.158758,2.752202,2.15205666666667,2.64889633333333,3.59526666666667,1.82060966666667,2.026422,2.11841666666667,1.77266,1.50023,1.422462,5.49125166666667,6.03080566666667,3.23973333333333,3.22481333333333,2.43202333333333,2.73425666666667,2.95966333333333,1.44548666666667,2.50636333333333,2.05305733333333,2.62658,2.49328066666667,2.49034,2.39060333333333,3.26406,2.03508,1.642555,2.586859,3.197035,2.08885333333333,2.58468333333333,1.85982333333333,2.12957333333333,2.11738766666667,1.81064333333333,2.27874666666667,2.01512666666667,1.74835666666667,1.05161333333333,1.32603,1.68866666666667,0.562568666666667,0.714773666666667,0.561353333333333,0.685176666666667,3.55675066666667,3.34121,2.682073,2.97377266666667,15.083797,19.3346076666667,28.22345,11.3086016666667,2.80754666666667,2.68372333333333,1.66977,2.58989,2.246879,3.153349,3.17296433333333,3.121739,1.24343833333333,1.965303,3.05951666666667,1.83077333333333,4.349319,2.28152266666667,2.54229,2.47278,2.53056666666667,1.96510666666667,2.15643733333333,2.45044666666667
"1500009L16Rik",12.1372866666667,10.5389726666667,10.625827,9.32439333333333,5.65125933333333,6.66860333333333,6.28019733333333,7.15479333333333,8.68779633333333,8.30935666666667,7.01231333333333,8.10881133333333,3.53558,5.66414666666667,4.87491666666667,8.269913,7.52770666666667,9.67681966666667,9.45617133333333,7.87981633333333,8.28565166666667,6.41221333333333,5.37525333333333,11.5682,9.99160333333333,6.83860333333333,9.90587666666667,12.9797933333333,12.0313333333333,10.5415503333333,13.6532166666667,8.51053,8.31065666666667,8.54077666666667,8.51049,6.04840666666667,6.98456666666667,6.44884333333333,6.90156866666667,3.88216933333333,4.03574,4.32581,4.37009666666667,5.38265333333333,3.90336666666667,1.88409666666667,1.5946,7.96310666666667,7.02772666666667,8.11783666666667,6.84523333333333,3.38688333333333,3.88638,3.15263333333333,2.51494433333333,7.14662666666667,7.08895233333333,5.85054,5.9151,12.9186613333333,15.0168,12.58465,13.01234,8.72618,8.58898766666667,6.09754666666667,9.600374,11.2255566666667,11.1462826666667,10.1405233333333,11.004003,6.95873666666667,8.41039,6.89387666666667,6.20789666666667
"1600012H06Rik",3.00442,3.0488,2.91553,3.3610275,2.590779,2.14586825,2.4573325,1.9415535,4.8782375,4.9420725,5.13634,5.34958,2.88331575,2.969567,2.90533175,2.8912425,3.7763475,3.26474,3.058575,3.1665475,2.9320695,2.43021725,2.364745,3.68755,3.17318425,3.30711875,3.944265,1.95202775,2.27208375,2.60783675,2.29862875,3.07249225,3.26375175,2.87951475,3.4886445,2.9495825,3.038569,2.68933,3.12147425,4.3822575,4.054605,5.1108355,4.352775,4.73182825,3.5722105,3.0772925,4.0329325,3.500386,3.9347945,3.362748,3.644378,6.80043,8.13526,5.99915,6.0416725,2.750447,2.677626,2.1025,2.85505875,2.4431105,2.17184675,2.3830245,2.76680675,3.01632275,3.36407175,2.523285,2.9322575,3.49471925,2.89297,3.581435,3.47455075,2.8744775,2.57376,2.1291575,2.703819
"1600014C10Rik",2.701654,2.17547442857143,2.04965714285714,2.298645,2.05773357142857,1.90558385714286,2.05151428571429,1.84355085714286,3.25073414285714,3.273,3.85586642857143,3.71039642857143,1.80787671428571,1.69880814285714,1.62591428571429,2.49895928571429,2.7323,2.60355757142857,2.679937,2.48768085714286,2.65486714285714,2.11492657142857,2.47227671428571,2.53446757142857,2.77618185714286,2.78389528571429,2.67182542857143,4.23178471428571,4.58606842857143,4.10122857142857,4.62287314285714,3.86265842857143,3.75570428571429,4.03814142857143,3.87408157142857,2.44978185714286,2.62451671428571,2.445507,2.09482642857143,3.70419971428571,3.43018571428571,3.70778514285714,3.35828628571429,2.40396271428571,2.15023228571429,2.20635114285714,2.36913228571429,2.84053557142857,2.78119357142857,2.93636428571429,2.55141,2.12162385714286,2.249358,2.01633685714286,1.963687,2.72583214285714,2.49079685714286,2.40982514285714,2.33988457142857,3.48142,2.97887385714286,2.88160542857143,3.28986714285714,2.47810685714286,2.198162,2.173591,1.90615714285714,3.02032,3.48085871428571,2.87939128571429,3.57238171428571,2.70179971428571,2.82115142857143,1.81224285714286,2.53522857142857
"1600014C23Rik",0.130134,0.229779,0.108004,0.11819,0.550163,0.652654,0.262906,0,0.126387,0.633697,0.224179,0.345513,0.10083,0.110522,0,0.535907,0.458886,0,0.146901,0,0.430485,0.226776,0.574168,0.22872,0.124426,0.136407,0.632492,0.118172,0.15137,0.292482,0.26599,0.335626,0.124333,0.29582,0,0.220467,0.263832,0.16809,0.20798,0.140098,0,0.28078,0.182439,0.09325,0,0,0,0.488798,0.385117,0.24024,0.108488,5.66881,8.17239,8.86486,4.44779,0.261698,0.112507,0.226915,0,0.116164,0.113363,0.334503,0,0.399139,0.430163,0.613392,0.345928,0.297096,0.401051,0,0.654851,0.244432,0.129453,0,0.159538
"1600029O15Rik",0.909545,1.14785,0.7588895,0.55106,0.110453,0.042903,0.5278465,1.0224005,0,0,0,0,0.172384,0.443789,0.4257365,0.60117,0.690625,0.7847075,0.505015,0.5195675,0.94868,0.910414,0.8645635,1.951315,1.623688,1.36926,1.310975,0.355832,0.6078405,0.3869935,0.266988,0.127709,0.05888,0.089061,0.162189,0.442567,0.334036,0.3374975,0.6261995,1.26573,0.71202,0.73956,0.28849,0.030723,0.025808,0.149921,0.202508,0.0981235,0.09665,0.120594,0,0.2370505,0.3927495,0.3068955,0.249833,0.9194485,0.447023,0.5697225,0.4329235,0.30366,0.2411325,0.235586,0.392982,0.6677555,0.431836,0.61558,1.7365745,0.298228,0.1445335,0.167239,0.201685,0.2453785,0.3898025,0.2259875,0.202027
"1700001F09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109124,0.33382,0,0,0,0.062973,0,0,0,0,0.175763,0,0,0.370235,0.008132,0,0,0,0,0,0,0,0,0,0,0,0,0.080426,0,0,0,0,0,0.226069,0.3827
"1700001J03Rik",0.290231,0,0.053211,0,0,0,0,0,0.1409875,0.2443735,0.1630295,0.4012005,0.050245,0,0,0.1499195,0,0.054318,0,0,0,0.055657,0,0,0,0.065823,0.1520205,0,0,0.1382705,0,0.125021,0,0.0688695,0.0752225,0,0,0,0,0,0,0.1329615,0,0.0912335,0,0,0,0.109093,0.3420495,0.409333,0.2092725,0,0.248732,0.51308,0.138608,0,0,0.0545475,0.138889,0,0,0,0,0,0.0518615,0.0602135,0.194368,0.047839,0.063156,0.156829,0.1837755,0,0,0,0.0760565
"1700001K19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1742985,0.046746,0.2209135,0.175239,0.048171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0440745,0.047443,0,0
