"entrezgene_id","external_gene_name","ensembl_gene_id"
11754,"Aoc3","ENSMUSG00000019326"
76507,"Aoc1","ENSMUSG00000029811"
237940,"Aoc2","ENSMUSG00000078651"
13081,"Cyp24a1","ENSMUSG00000038567"
13115,"Cyp27b1","ENSMUSG00000006724"
231691,"Sds","ENSMUSG00000029597"
20887,"Sult1a1","ENSMUSG00000030711"
217593,"Slc25a21","ENSMUSG00000035472"
106557,"Ldhal6b","ENSMUSG00000101959"
16833,"Ldhc","ENSMUSG00000030851"
54122,"Uevld","ENSMUSG00000043262"
16832,"Ldhb","ENSMUSG00000030246"
16828,"Ldha","ENSMUSG00000063229"
80879,"Slc16a3","ENSMUSG00000025161"
20503,"Slc16a7","ENSMUSG00000020102"
20501,"Slc16a1","ENSMUSG00000032902"
232156,"Slc4a5","ENSMUSG00000068323"
54403,"Slc4a4","ENSMUSG00000060961"
18293,"Ogdh","ENSMUSG00000020456"
13382,"Dld","ENSMUSG00000020664"
27402,"Pdhx","ENSMUSG00000010914"
78920,"Dlst","ENSMUSG00000004789"
100417514,"Adh6b","ENSMUSG00000074206"
26876,"Adh4","ENSMUSG00000037797"
11522,"Adh1","ENSMUSG00000074207"
11529,"Adh7","ENSMUSG00000055301"
11532,"Adh5","ENSMUSG00000028138"
76187,"Adhfe1","ENSMUSG00000025911"
12846,"Comt","ENSMUSG00000000326"
72472,"Slc16a10","ENSMUSG00000019838"
11670,"Aldh3a1","ENSMUSG00000019102"
73458,"Aldh3b3","ENSMUSG00000037263"
621603,"Aldh3b2","ENSMUSG00000075296"
56847,"Aldh1a3","ENSMUSG00000015134"
67689,"Aldh3b1","ENSMUSG00000024885"
15445,"Hpd","ENSMUSG00000029445"
268860,"Abat","ENSMUSG00000057880"
70750,"Kdsr","ENSMUSG00000009905"
107766,"Haao","ENSMUSG00000000673"
52430,"Echdc2","ENSMUSG00000028601"
23923,"Aadat","ENSMUSG00000057228"
70266,"Kyat1","ENSMUSG00000039648"
13195,"Ddc","ENSMUSG00000020182"
17161,"Maoa","ENSMUSG00000025037"
109731,"Maob","ENSMUSG00000040147"
50799,"Slc25a13","ENSMUSG00000015112"
78830,"Slc25a12","ENSMUSG00000027010"
246277,"Csad","ENSMUSG00000023044"
14415,"Gad1","ENSMUSG00000070880"
14417,"Gad2","ENSMUSG00000026787"
14718,"Got1","ENSMUSG00000025190"
14719,"Got2","ENSMUSG00000031672"
212647,"Aldh4a1","ENSMUSG00000028737"
17250,"Abcc1","ENSMUSG00000023088"
20859,"Sult2a1","ENSMUSG00000078798"
629219,"Sult2a6","ENSMUSG00000070810"
434264,"Sult2a5","ENSMUSG00000078799"
629203,"Sult2a3","ENSMUSG00000074375"
434121,"Sult2a4","ENSMUSG00000074377"
20509,"Slc19a1","ENSMUSG00000001436"
11761,"Aox1","ENSMUSG00000063558"
110877,"Slc18a1","ENSMUSG00000036330"
214084,"Slc18a2","ENSMUSG00000025094"
14275,"Folr1","ENSMUSG00000001827"
14276,"Folr2","ENSMUSG00000032725"
17159,"Man2b1","ENSMUSG00000005142"
239559,"A4galt","ENSMUSG00000047878"
333424,"A4gnt","ENSMUSG00000037953"
80908,"Abo","ENSMUSG00000015787"
215335,"Slc36a1","ENSMUSG00000020261"
232333,"Slc6a1","ENSMUSG00000030310"
243616,"Slc6a11","ENSMUSG00000030307"
14412,"Slc6a13","ENSMUSG00000030108"
14411,"Slc6a12","ENSMUSG00000030109"
110446,"Acat1","ENSMUSG00000032047"
231086,"Hadhb","ENSMUSG00000059447"
52538,"Acaa2","ENSMUSG00000036880"
97212,"Hadha","ENSMUSG00000025745"
224530,"Acat3","ENSMUSG00000062480"
110460,"Acat2","ENSMUSG00000023832"
235674,"Acaa1b","ENSMUSG00000010651"
100705,"Acacb","ENSMUSG00000042010"
11416,"Slc33a1","ENSMUSG00000027822"
68738,"Acss1","ENSMUSG00000027452"
380660,"Acss3","ENSMUSG00000035948"
54342,"Gnpnat1","ENSMUSG00000037722"
56174,"Nagk","ENSMUSG00000034744"
109785,"Pgm3","ENSMUSG00000056131"
327942,"Pigl","ENSMUSG00000014245"
217214,"Nags","ENSMUSG00000048217"
11423,"Ache","ENSMUSG00000023328"
20508,"Slc18a3","ENSMUSG00000100241"
104112,"Acly","ENSMUSG00000020917"
94181,"Nans","ENSMUSG00000028334"
235504,"Slc17a5","ENSMUSG00000049624"
67311,"Nanp","ENSMUSG00000053916"
11433,"Acp5","ENSMUSG00000001348"
66659,"Acp6","ENSMUSG00000028093"
66885,"Acadsb","ENSMUSG00000030861"
11364,"Acadm","ENSMUSG00000062908"
11409,"Acads","ENSMUSG00000029545"
102632,"Acad11","ENSMUSG00000090150"
66948,"Acad8","ENSMUSG00000031969"
229211,"Acad9","ENSMUSG00000027710"
56357,"Ivd","ENSMUSG00000027332"
74156,"Acot12","ENSMUSG00000021620"
11430,"Acox1","ENSMUSG00000020777"
109652,"Acy1","ENSMUSG00000023262"
11429,"Aco2","ENSMUSG00000022477"
11428,"Aco1","ENSMUSG00000028405"
93732,"Acox2","ENSMUSG00000021751"
11431,"Acp1","ENSMUSG00000044573"
56318,"Acp3","ENSMUSG00000032561"
57279,"Slc25a20","ENSMUSG00000032602"
60525,"Acss2","ENSMUSG00000027605"
78894,"Aacs","ENSMUSG00000029482"
107626,"Asmt","ENSMUSG00000093806"
13106,"Cyp2e1","ENSMUSG00000025479"
11486,"Ada","ENSMUSG00000017697"
13340,"Slc29a2","ENSMUSG00000024891"
11639,"Ak4","ENSMUSG00000028527"
