"Gene_ID","GSM4913330","GSM4913331","GSM4913332","GSM4913333","GSM4913334","GSM4913335","GSM4913336","GSM4913337","GSM4913338","GSM4913339","GSM4913340","GSM4913341","GSM4913342","GSM4913343","GSM4913344"
"ENSMUSG00000000001",649,1193,2541,1021,1232,2773,1875,3482,3236,2229,3229,422,3445,1614,650
"ENSMUSG00000000003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000028",0,399,39,0,69,169,36,27,43,116,128,49,0,113,0
"ENSMUSG00000000031",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000037",0,0,3,0,40,0,14,19,1,35,22,9,0,41,0
"ENSMUSG00000000049",20,146,21,38,28,115,129,48,37,38,33,156,78,108,208
"ENSMUSG00000000056",1814,650,2860,936,2746,2468,2254,2116,2501,1954,2434,431,2081,1322,325
"ENSMUSG00000000058",778,1045,3077,1700,2364,3634,2726,3642,3912,1766,3196,1242,5989,3967,729
"ENSMUSG00000000078",1798,905,1463,1253,2092,1550,819,1395,1517,1026,1630,2293,3418,2255,1887
"ENSMUSG00000000085",514,538,722,830,927,743,705,752,768,787,745,483,723,984,661
"ENSMUSG00000000088",16843,12599,9307,19142,8836,11429,15526,7458,8705,7292,7389,14204,12785,9717,15453
"ENSMUSG00000000093",46,0,1,0,46,5,0,23,15,74,55,55,0,11,9
"ENSMUSG00000000094",9,226,32,0,11,12,0,14,0,10,0,0,0,0,0
"ENSMUSG00000000103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000120",0,0,0,5,2,1,4,1,1,7,16,0,0,1,0
"ENSMUSG00000000125",0,0,16,0,49,74,31,141,12,140,64,0,0,20,97
"ENSMUSG00000000126",64,0,0,0,146,1,52,18,63,11,9,140,221,249,167
"ENSMUSG00000000127",1402,635,1345,1280,873,1502,1405,1280,1385,857,1262,897,884,1082,696
"ENSMUSG00000000131",385,419,1317,396,1878,1135,357,1373,888,2408,1065,711,220,792,693
"ENSMUSG00000000134",689,335,596,425,739,385,260,602,421,697,602,198,600,617,402
"ENSMUSG00000000142",61,0,59,52,26,31,13,29,23,33,47,93,41,73,91
"ENSMUSG00000000148",144,263,301,371,786,366,172,447,218,774,552,229,244,590,96
"ENSMUSG00000000149",1497,1648,3089,1682,3145,3212,1110,9609,2680,10260,6500,992,1271,2502,773
"ENSMUSG00000000154",0,0,0,0,14,10,20,41,31,72,25,0,0,31,0
"ENSMUSG00000000157",0,0,3,0,0,0,0,0,6,0,0,0,0,0,0
"ENSMUSG00000000159",23992,41992,7826,28835,6286,3120,6643,2739,3376,1584,6465,6958,15118,2417,9479
"ENSMUSG00000000167",42,8,39,224,75,122,406,337,243,253,329,248,320,232,315
"ENSMUSG00000000168",2053,2200,3812,2352,6151,5253,3861,3540,3655,6919,2802,1031,1890,3050,1377
"ENSMUSG00000000171",8556,13153,9706,14973,6179,11245,14241,8618,11355,5856,9672,11259,16330,8709,8176
"ENSMUSG00000000182",0,0,27,22,2,5,0,0,5,0,10,0,0,3,0
"ENSMUSG00000000183",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000000184",2837,1144,997,437,1929,2944,3774,1993,2571,2511,1580,4279,2004,2958,5594
