"Gene_ID","GSM6435238","GSM6435239","GSM6435240","GSM6435241"
"ENSMUSG00000000001",697,635,837,674
"ENSMUSG00000000003",0,0,0,0
"ENSMUSG00000000028",29,20,20,24
"ENSMUSG00000000031",4,0,8,2
"ENSMUSG00000000037",34,25,25,36
"ENSMUSG00000000049",11,10,5,4
"ENSMUSG00000000056",894,907,874,1050
"ENSMUSG00000000058",1115,976,979,978
"ENSMUSG00000000078",1163,1000,1170,1118
"ENSMUSG00000000085",830,826,782,821
"ENSMUSG00000000088",1461,1258,1192,1319
"ENSMUSG00000000093",84,69,71,80
"ENSMUSG00000000094",1,8,4,0
"ENSMUSG00000000103",0,0,0,0
"ENSMUSG00000000120",36,42,39,45
"ENSMUSG00000000125",42,44,41,41
"ENSMUSG00000000126",749,511,455,492
"ENSMUSG00000000127",231,335,282,294
"ENSMUSG00000000131",1893,1597,1767,1684
"ENSMUSG00000000134",701,689,695,646
"ENSMUSG00000000142",504,440,489,495
"ENSMUSG00000000148",390,338,350,420
"ENSMUSG00000000149",2137,1936,1748,1951
"ENSMUSG00000000154",4,3,10,6
"ENSMUSG00000000157",1,4,5,1
"ENSMUSG00000000159",5,2,3,1
"ENSMUSG00000000167",46,29,34,46
"ENSMUSG00000000168",2195,2067,2076,2011
"ENSMUSG00000000171",1264,1246,1132,1096
"ENSMUSG00000000182",8,11,3,4
"ENSMUSG00000000183",0,0,0,0
"ENSMUSG00000000184",843,938,1148,1032
"ENSMUSG00000000194",1031,878,937,970
"ENSMUSG00000000197",2503,2404,3135,2406
"ENSMUSG00000000202",531,463,342,456
"ENSMUSG00000000204",0,1,3,0
"ENSMUSG00000000214",38,107,12,264
"ENSMUSG00000000215",0,0,4,0
"ENSMUSG00000000216",0,5,0,2
"ENSMUSG00000000223",1941,1413,1676,1559
"ENSMUSG00000000244",9,2,1,7
"ENSMUSG00000000247",1552,1426,1514,1277
"ENSMUSG00000000248",0,0,0,0
"ENSMUSG00000000253",630,607,516,613
"ENSMUSG00000000263",11,4,7,10
"ENSMUSG00000000266",607,619,700,621
"ENSMUSG00000000275",202,173,176,194
"ENSMUSG00000000276",2339,2135,2336,2077
"ENSMUSG00000000278",288,258,350,274
"ENSMUSG00000000282",858,734,990,807
"ENSMUSG00000000290",122,137,105,102
"ENSMUSG00000000295",119,122,131,122
"ENSMUSG00000000296",341,313,378,321
"ENSMUSG00000000301",18,26,35,26
"ENSMUSG00000000303",67,66,46,44
"ENSMUSG00000000305",428,416,865,514
"ENSMUSG00000000308",2958,2659,2635,2765
"ENSMUSG00000000317",46,44,50,35
"ENSMUSG00000000318",16,16,7,14
"ENSMUSG00000000320",27,26,17,25
"ENSMUSG00000000325",609,522,505,571
"ENSMUSG00000000326",1400,1248,1250,1266
"ENSMUSG00000000339",655,586,594,598
"ENSMUSG00000000340",417,421,432,329
"ENSMUSG00000000346",2530,2607,2492,2308
"ENSMUSG00000000355",701,563,562,625
"ENSMUSG00000000359",15,9,12,9
"ENSMUSG00000000365",20,13,19,23
"ENSMUSG00000000374",2428,2151,2287,2114
"ENSMUSG00000000378",754,797,765,744
"ENSMUSG00000000381",0,0,0,0
"ENSMUSG00000000384",528,490,494,529
"ENSMUSG00000000385",3,0,0,3
"ENSMUSG00000000386",1,4,4,8
"ENSMUSG00000000392",99,75,73,48
"ENSMUSG00000000394",0,0,4,0
"ENSMUSG00000000399",1420,1279,1368,1305
"ENSMUSG00000000402",34,32,71,39
"ENSMUSG00000000409",25,16,17,9
"ENSMUSG00000000411",7,4,6,1
"ENSMUSG00000000416",2263,1921,2188,2186
"ENSMUSG00000000420",1302,1111,1219,1057
"ENSMUSG00000000435",0,0,0,0
"ENSMUSG00000000439",427,429,465,418
"ENSMUSG00000000440",94,76,67,100
"ENSMUSG00000000441",650,584,599,549
"ENSMUSG00000000486",12,25,10,22
"ENSMUSG00000000489",597,618,656,642
"ENSMUSG00000000530",335,317,275,323
"ENSMUSG00000000531",735,825,1037,782
"ENSMUSG00000000532",3511,3115,3087,3186
"ENSMUSG00000000538",6952,6211,6114,6243
"ENSMUSG00000000544",0,0,0,0
"ENSMUSG00000000552",1456,1286,962,1223
"ENSMUSG00000000555",60,72,60,48
