"Gene","GSM6506766","GSM6506768","GSM6506769"
"0610007P14Rik",16.99238903,17.58146992,17.53934242
"0610009B22Rik",8.599798427,9.974431952,7.915450318
"0610009O20Rik",14.60870034,13.21399311,14.96883228
"0610010B08Rik",0.023340079,0,0.012215676
"0610010F05Rik",5.592614856,5.550340693,5.274360728
"0610010K14Rik",19.43598455,18.39515708,14.15020828
"0610011F06Rik",17.56968363,17.6432913,18.25442241
"0610030E20Rik",4.03499775,3.899581812,4.143314055
"0610037L13Rik",11.29014623,14.07710109,11.99573512
"0610040J01Rik",1.30065712,1.465932978,1.010122716
"1-Mar",2.3388583185,2.664238238,2.7555402045
"1-Sep",0.643838024,0.529059124,0.633095969
"10-Mar",0.467699509,0.599287894,0.531529826
"10-Sep",2.026621018,2.030797524,1.788611402
"11-Mar",1.906128585,1.988018278,1.995250219
"11-Sep",15.96607183,16.05399466,16.99419115
"1110001J03Rik",26.54521211,21.79773425,23.00859973
"1110004E09Rik",21.58893122,21.47135313,19.40404992
"1110004F10Rik",58.59910453,60.10576186,55.91518952
"1110008F13Rik",32.70954451,32.01218155,32.07587793
"1110008L16Rik",1.886334432,2.215510973,2.063473404
"1110008P14Rik",132.7079612,133.0276148,131.0641076
"1110012L19Rik",7.166276585,6.167479501,7.239053526
"1110017D15Rik",0.685164583,0.344979368,0.445158413
"1110025L11Rik",0,0,0
"1110032A03Rik",10.14213279,9.792277167,9.919577321
"1110032F04Rik",7.807881247,9.707691884,8.925712058
"1110034G24Rik",1.309945387,1.285260976,1.096953833
"1110037F02Rik",7.918778818,6.351271611,7.246085579
"1110038F14Rik",5.659755688,7.337866509,6.153498967
"1110051M20Rik",12.85264146,12.1233985,12.55970635
"1110059E24Rik",11.09112236,12.88299151,9.163502112
"1110059G10Rik",3.750947282,4.125778455,3.909826828
"1110065P20Rik",27.0232282,26.999447,26.59701492
"1190002N15Rik",12.47149074,13.17511764,13.78453375
"1190003K10Rik",0,0,0
"1190005I06Rik",0.072166635,0.225801015,0
"1190007I07Rik",4.957114585,5.465511551,4.225235758
"12-Sep",0,0,0
"1300017J02Rik",0,0,0
"14-Sep",0,0,0
"15-Sep",87.10283449,86.49105998,78.91092912
"1500009L16Rik",6.711342087,8.265146858,7.064822989
"1500015O10Rik",1.670235004,1.617562525,0.936603944
