"Gene_ID","GSM6614483","GSM6614484","GSM6614485"
"ENSMUSG00000000001",2099,2525,1890
"ENSMUSG00000000003",0,0,0
"ENSMUSG00000000028",101,100,100
"ENSMUSG00000000031",18,156,40
"ENSMUSG00000000037",21,9,25
"ENSMUSG00000000049",31,19,14
"ENSMUSG00000000056",2778,2558,3290
"ENSMUSG00000000058",1616,3977,1926
"ENSMUSG00000000078",1277,3165,1449
"ENSMUSG00000000085",858,1021,880
"ENSMUSG00000000088",4734,4276,4746
"ENSMUSG00000000093",72,58,114
"ENSMUSG00000000094",3,8,4
"ENSMUSG00000000103",0,0,0
"ENSMUSG00000000120",92,198,116
"ENSMUSG00000000125",185,106,280
"ENSMUSG00000000126",633,228,382
"ENSMUSG00000000127",963,770,677
"ENSMUSG00000000131",1874,2163,2179
"ENSMUSG00000000134",1160,1467,818
"ENSMUSG00000000142",861,441,790
"ENSMUSG00000000148",682,865,603
"ENSMUSG00000000149",7980,3765,6725
"ENSMUSG00000000154",44,5,13
"ENSMUSG00000000157",0,13,5
"ENSMUSG00000000159",25,8,33
"ENSMUSG00000000167",76,32,60
"ENSMUSG00000000168",5996,6051,5346
"ENSMUSG00000000171",4206,3799,3822
"ENSMUSG00000000182",13,14,8
"ENSMUSG00000000183",0,0,0
"ENSMUSG00000000184",3086,3817,3272
"ENSMUSG00000000194",2019,2683,2248
"ENSMUSG00000000197",4257,3404,4430
"ENSMUSG00000000202",1025,278,1149
"ENSMUSG00000000204",5,77,13
"ENSMUSG00000000214",39,110,42
"ENSMUSG00000000215",17,0,23
"ENSMUSG00000000216",0,13,9
"ENSMUSG00000000223",1025,1535,1672
"ENSMUSG00000000244",1,9,5
"ENSMUSG00000000247",3238,2029,2681
"ENSMUSG00000000248",0,0,0
"ENSMUSG00000000253",2591,2399,1863
"ENSMUSG00000000263",10,90,26
"ENSMUSG00000000266",900,1062,1106
"ENSMUSG00000000275",228,438,338
"ENSMUSG00000000276",3223,2261,3110
"ENSMUSG00000000278",524,713,520
"ENSMUSG00000000282",1926,2233,1497
"ENSMUSG00000000290",186,581,241
"ENSMUSG00000000295",692,600,549
"ENSMUSG00000000296",1082,748,966
"ENSMUSG00000000301",122,142,82
"ENSMUSG00000000303",12,90,90
"ENSMUSG00000000305",623,743,574
