"Gene","GSM6845651","GSM6845652","GSM6845653","GSM6845654"
"0610009B22Rik",166,172,168,193
"0610010F05Rik",272,301,264,340
"0610010K14Rik",64,52,41,75
"0610012G03Rik",200,230,190,236
"0610030E20Rik",350,291,277,438
"0610040J01Rik",78,84,82,83
"1-Mar",56.5,76,52,35
"1-Sep",34,19,24,35
"10-Mar",4,4,4,5
"10-Sep",47,48,46,54
"11-Mar",77,103,96,87
"11-Sep",1205,1090,1202,1458
"1110002E22Rik",6,7,7,6
"1110004F10Rik",466,406,354,428
"1110008P14Rik",131,87,75,105
"1110012L19Rik",51,42,31,45
"1110017D15Rik",10,5,13,9
"1110032A03Rik",139,109,94,159
"1110032F04Rik",6,17,7,9
"1110038F14Rik",132,143,125,164
"1110051M20Rik",299,270,276,383
"1110059E24Rik",274,262,213,291
"1110059G10Rik",76,78,57,114
"1110065P20Rik",75,71,53,69
"1190005I06Rik",20,17,16,16
"1190007I07Rik",31,30,28,42
"1300017J02Rik",19,10,17,19
"1500009C09Rik",570,508,471,556
"1500009L16Rik",15,24,23,26
"1500011B03Rik",494,458,412,512
"1520401A03Rik",8,7,8,13
"1600002K03Rik",36,24,10,27
"1600012H06Rik",187,181,192,269
"1600014C10Rik",346,303,283,364
"1600014C23Rik",1,0,0,1
"1700001C02Rik",1,2,0,4
"1700001J03Rik",0,1,0,3
"1700001K19Rik",26,29,27,29
"1700001L19Rik",8,21,7,9
"1700001O22Rik",8,13,6,9
"1700001P01Rik",3,3,5,5
"1700003E16Rik",58,57,31,44
"1700003F12Rik",9,12,10,7
"1700007K13Rik",15,12,17,4
"1700008O03Rik",16,10,12,15
"1700010I14Rik",8,9,7,8
"1700011L22Rik",0,0,0,0
"1700011M02Rik",0,0,0,0
"1700012B09Rik",1,2,5,2
"1700012P22Rik",0,0,0,0
"1700013F07Rik",8,6,3,3
"1700014D04Rik",5,0,3,4
"1700015F17Rik",1,0,0,0
"1700015G11Rik",0,0,1,1
"1700016C15Rik",3,3,3,2
"1700016D06Rik",0,1,0,1
"1700016K19Rik",10,16,9,8
"1700017B05Rik",125,127,120,103
"1700017N19Rik",2,0,0,0
"1700018G05Rik",6,4,6,9
"1700019A02Rik",15,14,9,9
"1700019D03Rik",107,112,112,143
"1700019N19Rik",0,1,0,1
"1700020A23Rik",5,2,0,3
"1700020D05Rik",23,21,22,32
"1700020L24Rik",7,6,2,3
"1700021F05Rik",140,154,125,152
"1700022I11Rik",27,20,19,28
"1700023F06Rik",20,9,8,35
"1700024B05Rik",0,0,1,0
"1700024G13Rik",0,2,2,2
"1700025G04Rik",1126,998,1060,1367
"1700028J19Rik",1,2,1,1
"1700028K03Rik",48,33,38,43
"1700028P14Rik",5,5,9,6
"1700029H14Rik",4,3,0,5
"1700029I15Rik",70,59,56,96
"1700029J07Rik",34,45,53,44
"1700029P11Rik",0,0,0,1
"1700030J22Rik",33,42,37,35
"1700030K09Rik",53,66,59,73
"1700034I23Rik",15,13,8,15
"1700034J05Rik",1,4,3,3
"1700037C18Rik",76,53,38,67
"1700037H04Rik",156,174,145,153
"1700042G07Rik",3,0,0,0
"1700056E22Rik",8,7,5,12
"1700061G19Rik",10,9,6,11
