"Gene_ID","GSM7012039","GSM7012040"
"ENSMUSG00000000003",0,0
"ENSMUSG00000000028",82,91
"ENSMUSG00000000031",36,26
"ENSMUSG00000000037",57,74
"ENSMUSG00000000049",0,2
"ENSMUSG00000000056",476,507
"ENSMUSG00000000058",142,164
"ENSMUSG00000000078",556,562
"ENSMUSG00000000085",957,1013
"ENSMUSG00000000088",214,265
"ENSMUSG00000000093",4,2
"ENSMUSG00000000094",1,0
"ENSMUSG00000000103",0,0
"ENSMUSG00000000120",14,13
"ENSMUSG00000000125",11,10
"ENSMUSG00000000126",54,63
"ENSMUSG00000000127",495,538
"ENSMUSG00000000131",2207,2240
"ENSMUSG00000000134",602,638
"ENSMUSG00000000142",312,311
"ENSMUSG00000000148",224,290
"ENSMUSG00000000149",848,906
"ENSMUSG00000000154",8,11
"ENSMUSG00000000157",0,0
"ENSMUSG00000000159",0,0
"ENSMUSG00000000167",116,103
"ENSMUSG00000000168",649,686
"ENSMUSG00000000171",368,442
"ENSMUSG00000000182",1,3
"ENSMUSG00000000183",0,0
"ENSMUSG00000000184",5548,5714
"ENSMUSG00000000194",1223,1152
"ENSMUSG00000000197",1256,1335
"ENSMUSG00000000202",34,41
"ENSMUSG00000000204",0,2
"ENSMUSG00000000214",24,31
"ENSMUSG00000000215",0,4
"ENSMUSG00000000216",0,0
"ENSMUSG00000000223",1835,1864
"ENSMUSG00000000244",3,0
"ENSMUSG00000000247",777,789
"ENSMUSG00000000248",46,56
"ENSMUSG00000000253",214,171
"ENSMUSG00000000263",0,0
"ENSMUSG00000000266",431,396
"ENSMUSG00000000275",136,180
"ENSMUSG00000000276",702,688
"ENSMUSG00000000278",339,356
"ENSMUSG00000000282",559,515
"ENSMUSG00000000290",10,19
"ENSMUSG00000000295",109,112
"ENSMUSG00000000296",56,48
"ENSMUSG00000000301",40,26
"ENSMUSG00000000303",2,7
"ENSMUSG00000000305",2273,2312
"ENSMUSG00000000308",282,299
"ENSMUSG00000000317",17,20
"ENSMUSG00000000318",2,0
"ENSMUSG00000000320",2,2
"ENSMUSG00000000325",763,752
"ENSMUSG00000000326",407,404
"ENSMUSG00000000339",315,308
"ENSMUSG00000000340",228,269
"ENSMUSG00000000346",1152,1173
"ENSMUSG00000000355",199,193
"ENSMUSG00000000359",4,0
"ENSMUSG00000000365",5,4
"ENSMUSG00000000374",1568,1591
"ENSMUSG00000000378",277,335
"ENSMUSG00000000381",0,0
"ENSMUSG00000000384",411,410
"ENSMUSG00000000385",2,3
"ENSMUSG00000000386",16,15
"ENSMUSG00000000392",2,2
"ENSMUSG00000000394",1,0
"ENSMUSG00000000399",611,517
"ENSMUSG00000000402",0,1
"ENSMUSG00000000409",14,20
"ENSMUSG00000000411",1,0
"ENSMUSG00000000416",1528,1619
"ENSMUSG00000000420",667,663
"ENSMUSG00000000435",0,0
"ENSMUSG00000000439",428,402
"ENSMUSG00000000440",13,3
"ENSMUSG00000000441",1629,1604
"ENSMUSG00000000486",15,18
"ENSMUSG00000000489",59,66
"ENSMUSG00000000530",4,0
"ENSMUSG00000000531",35,27
"ENSMUSG00000000532",1054,1142
"ENSMUSG00000000538",2559,2593
"ENSMUSG00000000544",2,0
"ENSMUSG00000000552",377,365
"ENSMUSG00000000555",138,131
"ENSMUSG00000000560",293,282
"ENSMUSG00000000561",205,217
"ENSMUSG00000000562",0,0
"ENSMUSG00000000563",1115,1222
"ENSMUSG00000000567",1891,1959
"ENSMUSG00000000568",1779,2104
"ENSMUSG00000000579",77,85
"ENSMUSG00000000581",196,221
"ENSMUSG00000000594",1395,1413
"ENSMUSG00000000600",576,623
