"Gene_ID","GSM7427996","GSM7427997","GSM7427998","GSM7427999","GSM7428004","GSM7428005","GSM7428006","GSM7428007"
"ENSMUSG00000000001",1384,1383,1267,1318,1478,1248,1484,1263
"ENSMUSG00000000003",0,0,0,0,0,0,0,0
"ENSMUSG00000000028",61,47,55,48,60,78,81,59
"ENSMUSG00000000031",9,28,15,6,13,10,11,5
"ENSMUSG00000000037",31,24,17,27,24,33,23,30
"ENSMUSG00000000049",20,9,12,14,9,8,8,12
"ENSMUSG00000000056",2561,2270,2111,2209,2333,2409,2186,2157
"ENSMUSG00000000058",1959,2077,2211,1989,2452,2092,2035,2030
"ENSMUSG00000000078",2317,2131,1884,1918,2171,2196,1964,1866
"ENSMUSG00000000085",1202,1209,1022,1062,1400,1369,1313,1194
"ENSMUSG00000000088",2819,2667,2531,2613,3027,2613,2316,2442
"ENSMUSG00000000093",63,77,56,59,65,92,56,44
"ENSMUSG00000000094",8,4,3,4,5,4,6,1
"ENSMUSG00000000103",0,0,0,0,0,0,0,0
"ENSMUSG00000000120",68,37,21,24,43,25,27,26
"ENSMUSG00000000125",100,58,46,70,63,51,68,76
"ENSMUSG00000000126",619,591,639,506,599,677,471,521
"ENSMUSG00000000127",642,634,568,480,649,668,606,579
"ENSMUSG00000000131",2733,2504,2322,2276,3056,2969,2674,2540
"ENSMUSG00000000134",1262,1144,1016,995,1206,1307,1164,1075
"ENSMUSG00000000142",963,843,846,872,1072,962,940,903
"ENSMUSG00000000148",737,627,526,594,758,830,543,649
"ENSMUSG00000000149",2842,2874,2742,2814,3794,3053,3265,2924
"ENSMUSG00000000154",15,12,9,6,13,5,11,6
"ENSMUSG00000000157",1,0,2,1,0,1,4,0
"ENSMUSG00000000159",5,3,3,5,5,6,1,3
"ENSMUSG00000000167",62,52,43,53,65,52,48,68
"ENSMUSG00000000168",5428,4503,4156,3887,4829,4500,4386,4042
"ENSMUSG00000000171",3017,3192,3161,3467,3691,3083,2738,2827
"ENSMUSG00000000182",10,10,7,9,22,12,7,8
"ENSMUSG00000000183",0,0,0,0,0,0,0,0
