"Gene","GSM7994873","GSM7994882"
"0610005C13Rik",4,1
"0610007P14Rik",496,363
"0610009B22Rik",88,59
"0610009L18Rik",50,37
"0610009O20Rik",147,157
"0610010B08Rik",43,33
"0610010F05Rik",404,382
"0610010K14Rik",253,260
"0610011F06Rik",145,89
"0610012G03Rik",290,225
"0610030E20Rik",132,130
"0610031O16Rik",0,0
"0610037L13Rik",192,162
"0610038B21Rik",2,25
"0610039H22Rik",48,41
"0610039K10Rik",0,4
"0610040B10Rik",28,38
"0610040F04Rik",9,11
"0610040J01Rik",30,30
"0610043K17Rik",38,13
"1010001N08Rik",7,15
"1110001J03Rik",514,464
"1110002L01Rik",675,612
"1110004E09Rik",486,438
"1110004F10Rik",816,835
"1110006O24Rik",3,6
"1110007C09Rik",36,29
"1110008F13Rik",512,405
"1110008L16Rik",361,440
"1110008P14Rik",663,1289
"1110012L19Rik",38,25
"1110015O18Rik",1,8
"1110017D15Rik",18,14
"1110019D14Rik",14,19
"1110020A21Rik",4,4
"1110025L11Rik",0,0
"1110028F11Rik",0,2
"1110028F18Rik",0,0
"1110032A03Rik",319,294
"1110032F04Rik",71,107
"1110034G24Rik",56,31
"1110036E04Rik",0,0
"1110037F02Rik",222,209
"1110038B12Rik",81,57
"1110038F14Rik",296,242
"1110046J04Rik",12,11
"1110051M20Rik",533,397
"1110058D11Rik",7,2
"1110059E24Rik",172,143
"1110059G10Rik",211,186
"1110065P20Rik",459,359
"1190002F15Rik",0,5
"1190002N15Rik",119,201
"1190003K10Rik",0,0
"1190005I06Rik",42,37
"1190007I07Rik",87,95
"1200014J11Rik",178,179
"1300002E11Rik",42,86
"1300017J02Rik",8,1
"1500004A13Rik",220,177
"1500009C09Rik",436,374
"1500009L16Rik",167,94
"1500011B03Rik",476,426
"1500011K16Rik",195,197
"1500012F01Rik",312,259
"1500012K07Rik",0,3
"1500015A07Rik",34,36
"1500015L24Rik",1,2
"1500015O10Rik",15,114
"1500017E21Rik",64,44
"1500026H17Rik",25,17
"1600002D24Rik",0,0
"1600002H07Rik",42,39
"1600002K03Rik",34,36
"1600010M07Rik",0,0
"1600012H06Rik",417,387
"1600014C10Rik",116,132
"1600014C23Rik",5,1
"1600014K23Rik",0,0
"1600015I10Rik",0,0
"1600019K03Rik",0,0
"1600020E01Rik",39,55
"1600023N17Rik",2,4
"1600025M17Rik",0,0
"1600027J07Rik",0,0
"1600029I14Rik",1,5
"1600029O15Rik",33,20
"1700001C02Rik",0,1
"1700001C19Rik",0,1
"1700001D01Rik",0,5
"1700001F09Rik",0,0
"1700001G01Rik",0,0
"1700001G11Rik",4,2
"1700001G17Rik",0,0
"1700001J03Rik",0,2
"1700001J11Rik",0,0
"1700001K19Rik",4,6
"1700001K23Rik",1,1
"1700001L05Rik",23,9
"1700001L19Rik",64,102
"1700001O22Rik",21,25
"1700001P01Rik",2,1
"1700003C15Rik",0,0
"1700003D09Rik",4,16
"1700003E16Rik",86,86
"1700003E24Rik",0,0
"1700003F12Rik",1,1
"1700003G13Rik",0,0
"1700003G18Rik",0,0
"1700003H04Rik",0,0
"1700003I22Rik",0,0
"1700003L19Rik",3,0
"1700003M02Rik",0,0
"1700003M07Rik",154,187
"1700003P14Rik",0,0
"1700006A11Rik",0,0
"1700006E09Rik",0,1
"1700006F04Rik",3,8
"1700006H21Rik",0,0
"1700007B14Rik",11,2
"1700007F19Rik",107,20
"1700007G11Rik",1,2
"1700007J10Rik",84,70
"1700007K09Rik",2,5
"1700007K13Rik",10,13
"1700007L15Rik",2,1
"1700007P06Rik",9,2
"1700008C04Rik",0,0
"1700008J07Rik",25,20
"1700008K24Rik",0,0
"1700008O03Rik",1593,1510
"1700008P02Rik",0,0
"1700009C05Rik",1,0
"1700009J07Rik",0,0
"1700009N14Rik",0,0
"1700010B08Rik",0,0
"1700010D01Rik",0,0
"1700010I02Rik",0,0
"1700010I14Rik",10,5
"1700010J16Rik",0,0
"1700010K23Rik",521,680
"1700011A15Rik",0,0
"1700011B04Rik",0,0
"1700011C11Rik",0,0
"1700011E24Rik",0,0
"1700011H14Rik",0,0
"1700011I03Rik",0,1
"1700011L22Rik",0,0
"1700011M02Rik",0,0
"1700012A03Rik",0,0
"1700012B07Rik",2,0
"1700012B09Rik",1,2
"1700012C14Rik",0,0
"1700012D01Rik",27,8
"1700012D14Rik",1,1
"1700012D16Rik",0,0
"1700012H19Rik",0,0
"1700012I11Rik",0,1
"1700012L04Rik",1,0
"1700012P22Rik",0,0
"1700013D24Rik",0,0
"1700013F07Rik",6,5
"1700013G24Rik",0,0
"1700013H16Rik",0,0
"1700015E13Rik",1,0
"1700015F17Rik",0,3
"1700015G11Rik",0,0
"1700016C15Rik",0,1
"1700016D06Rik",0,1
"1700016G22Rik",0,0
"1700016H13Rik",0,0
"1700016K19Rik",36,41
"1700016L04Rik",0,0
"1700016L21Rik",0,0
"1700016P04Rik",0,0
"1700017B05Rik",71,33
"1700017D01Rik",0,0
"1700017G19Rik",0,1
"1700017J07Rik",0,0
"1700017L05Rik",0,0
"1700017N19Rik",0,0
"1700018A04Rik",2,1
"1700018B08Rik",0,0
"1700018B24Rik",0,0
"1700018C11Rik",0,0
"1700018F24Rik",0,0
"1700018G05Rik",2,0
"1700018L02Rik",13,7
"1700019A02Rik",2,0
"1700019B03Rik",0,0
"1700019B21Rik",0,0
"1700019C18Rik",0,0
"1700019D03Rik",10,6
"1700019E08Rik",0,0
"1700019G17Rik",66,48
"1700019G24Rik",2,4
"1700019L03Rik",9,9
"1700019M22Rik",0,0
"1700019N19Rik",0,0
"1700019O17Rik",0,0
"1700020A23Rik",0,0
"1700020D05Rik",12,11
"1700020D14Rik",0,0
"1700020G17Rik",0,0
"1700020I14Rik",241,273
"1700020L24Rik",2,1
"1700020M21Rik",0,0
"1700020N01Rik",0,1
"1700020N15Rik",0,0
"1700020N18Rik",0,0
"1700021F05Rik",197,208
"1700021F07Rik",0,1
"1700021K19Rik",316,381
"1700021N21Rik",1,3
"1700022A21Rik",0,0
"1700022A22Rik",0,0
"1700022E09Rik",0,0
"1700022H01Rik",0,0
"1700022H16Rik",0,0
"1700022I11Rik",0,0
"1700023C21Rik",0,0
"1700023F02Rik",1,3
"1700023F06Rik",18,17
"1700024B18Rik",2,1
"1700024F13Rik",0,0
"1700024G13Rik",0,0
"1700024I08Rik",0,0
"1700024N05Rik",0,0
"1700024P04Rik",0,0
"1700024P16Rik",25,4
"1700025B11Rik",0,0
"1700025C18Rik",0,0
"1700025F22Rik",0,0
"1700025F24Rik",0,0
"1700025G04Rik",1012,966
"1700025J12Rik",0,1
"1700025K24Rik",0,0
"1700025M24Rik",0,0
"1700025N23Rik",0,0
"1700026D08Rik",17,4
"1700026D11Rik",0,0
"1700026F02Rik",0,0
"1700026J14Rik",1,4
"1700026L06Rik",3,0
"1700027A15Rik",1,0
"1700027F06Rik",0,0
"1700027F09Rik",0,0
"1700027H10Rik",0,0
"1700027I24Rik",0,0
"1700027J07Rik",0,0
"1700028B04Rik",5,10
"1700028D13Rik",0,0
"1700028E10Rik",0,2
"1700028I16Rik",0,0
"1700028J19Rik",3,0
"1700028K03Rik",76,39
"1700028M03Rik",0,0
"1700028P14Rik",15,9
"1700028P15Rik",0,0
"1700029B22Rik",0,0
"1700029F12Rik",0,0
"1700029H14Rik",0,0
"1700029I15Rik",9,13
"1700029J03Rik",0,0
"1700029J07Rik",48,55
"1700029M20Rik",0,0
"1700029N11Rik",0,0
"1700029P11Rik",1,0
