"Gene_ID","GSM1089187","GSM1089188","GSM1089189","GSM1089190","GSM1089191","GSM1089192","GSM1089193","GSM1089194","GSM1089195","GSM1089196"
"AB001750",6.344488837,6.329850829,6.227848461,6.267832176,6.091479718,6.242809586,6.166669058,6.326103201,6.255911532,6.258297642
"AB003026",6.641725006,7.044113777,7.355675755,7.312776471,7.437828609,7.375785342,7.524378478,7.436988495,7.365584137,7.523946938
"AB006330",6.43536946,6.284945169,6.285978423,5.640468442,5.20173915,5.179990588,5.067843975,5.123941577,5.127874727,5.065308441
"AB010343",4.914921648,4.602234333,4.363508585,3.910729061,4.090138995,3.973161192,4.100622809,4.077794221,4.154073561,3.99226757
"AB017616",5.781972826,5.752475641,5.696511622,5.857764354,5.983217419,5.989877839,5.99154688,5.999421487,5.959722964,5.993263452
"AB026804",4.705645707,4.648624971,4.919091854,5.048117082,5.339766407,5.277642803,5.101214664,5.071513867,5.132147548,5.177471515
"AB030188",4.781949942,4.848874502,5.886464813,7.096573407,7.709724272,7.490967646,7.477325167,7.401045714,7.313908989,7.430373015
"AB041855",4.820462242,4.572414307,4.67531267,4.460733378,4.547132242,4.466658001,4.521196972,4.505472645,4.574289069,4.510938298
"AB042399",4.904599858,4.389108219,4.446437109,4.494098367,4.112848972,4.160284985,4.134368897,4.070100328,3.954687389,4.014385207
"AB045382",3.437265014,3.119362483,3.662217717,3.813141709,3.951607472,3.951365687,3.947267595,3.866637073,3.834786109,3.904318343
"AB047921",5.788063631,5.68252376,5.776655228,5.750380186,5.844964339,5.775480951,5.830154926,5.741444539,5.734508359,5.857534775
"AB060651",3.566802971,3.955925364,3.898913759,3.595302883,3.469221078,3.208516984,3.110537919,3.309033781,3.259719657,3.280305374
"AB062122",3.694800889,4.033271042,4.238329871,4.772845693,4.576786326,4.450857843,4.526012033,4.311457147,4.30819144,4.36162711
"AB069868",2.755650402,2.726230766,2.52948842,2.755650402,2.755650402,2.755650402,2.755650402,2.755650402,3.048064717,2.755650402
"AB093269",6.449577806,6.624543389,6.588350804,6.360845297,6.557123549,6.510052359,6.553118266,6.550587392,6.523750143,6.651166872
"AB095735",2.942731183,3.27381383,3.09095787,2.678515412,2.416067561,2.307282569,2.261225309,2.195975072,2.20246433,2.144038687
"AB154249",3.79129844,3.709055295,4.015068026,4.530739602,4.444684206,4.785412981,4.527242759,4.847403801,4.391758478,4.655219473
"AB162219",6.332764199,6.276582594,5.983276769,5.375335069,5.267613943,5.454755077,5.547726162,5.532452777,5.621294066,5.671789691
"AB232586",4.956238558,4.893056612,4.882997894,4.865218599,4.733092302,4.662860671,4.670546178,4.764636327,4.698513608,4.634959668
"AB241120",4.442765374,4.398182658,4.655160314,4.497068668,5.007998838,4.922014606,5.080682464,5.028474675,4.930104861,5.078134466
"AB244988",7.019315473,6.87442843,6.801806495,5.783493554,5.31325392,4.988838106,5.099601459,4.973460648,5.071376549,5.018379739
"AB251963",4.072719404,4.339901715,4.305257233,4.387922768,4.530898181,4.535337576,4.528260333,4.704908091,4.639798141,4.586905599
"AB292670",3.164100552,3.221313739,3.197698223,3.313103298,3.183825848,3.207954758,3.186551181,3.106418799,3.088523706,3.011456032
"AB441166",4.913743306,4.617485079,4.587782449,4.452694352,4.842882736,4.82270778,4.802473035,4.924013961,4.699677663,4.785811357
"AB594192",6.248836342,6.152051139,6.244446648,5.936443863,5.834754611,5.792198931,5.847793211,5.804323675,5.687786422,5.96148199
"AF042730",3.489215946,3.357506434,3.687702462,3.825706287,3.922339699,4.045884471,3.969813622,3.834587474,3.839383644,4.040328847
"AF044257",4.184447763,4.296072921,4.249464697,3.864117005,3.938862185,3.664751062,3.769523783,3.803258986,3.748972632,3.789527389
"AF062655",5.210982878,5.287371011,5.274018592,4.855037423,5.227565607,5.016933253,5.111103344,5.269950255,5.226104703,5.180066517
"AF065903",2.810631602,2.982301994,2.846908715,3.152800647,3.175586471,3.175270087,3.311904783,3.387660016,3.425476939,3.288324379
"AF071025",6.506968712,6.74400632,6.691728371,7.14994763,7.222123651,7.344639287,7.301587964,7.358606857,7.426061298,7.272650196
"AF080252",5.173812506,5.332991393,5.0758577,4.841672191,4.815131567,4.690197096,4.897305413,4.682206864,4.786348268,4.853283956
"AF096867",5.389541592,5.767585733,6.50016258,7.05582263,7.348167161,7.103190057,7.239158531,7.098258382,7.172713981,7.142947773
"AF183946",7.197618127,6.981200878,6.992484078,7.223316095,6.959857857,6.981859636,6.932437754,6.985142998,6.758550068,6.704439438
"AF184240",7.699561825,7.589434097,7.628270002,7.167955992,7.293975151,7.318540073,7.326310682,7.386206838,7.314327358,7.388188366
"AF188286",6.732438117,6.449738114,6.30397365,6.69143021,6.666319901,7.014520542,6.68904448,6.529007105,6.719889305,6.698570211
"AF197480",4.169913816,4.253403264,4.467921707,4.819334449,5.12354375,4.869502641,4.937124033,4.834806512,4.992271572,4.939673323
"AF220140",2.713851015,2.670030963,2.387265728,2.921002404,2.657874895,2.957133211,2.708360819,2.708778045,2.848673121,2.599285618
"AF222802",3.050830522,3.067366245,2.979908601,2.967646474,3.023135249,3.067366245,3.064576479,3.132704256,3.067366245,3.102643482
"AF259674",5.628245318,5.907937224,6.002162379,6.032282683,6.150957746,6.149902317,6.303835268,6.210849047,6.003557884,6.33020373
"AF287293",5.265673787,5.150932129,5.348156795,5.355770039,5.212322186,5.120344415,5.131471985,5.069728755,5.130945138,5.03733476
"AF290472",6.454929091,6.169881159,6.419402312,6.550000019,6.630282728,6.685176019,6.629286184,6.559482924,6.741324066,6.653184316
"AF295102",4.125976835,4.010145846,4.200327661,4.224371767,4.477053303,4.523966446,4.605890228,4.499364823,4.495117013,4.628454468
"AF297082",7.531155005,7.310314767,7.382391112,6.700260968,6.799804788,6.518431991,6.580363029,6.557673398,6.649962668,6.754677361
"AF302503",7.9620314,7.756948779,7.530410424,7.158531781,7.098649709,6.987202665,7.084227965,6.915629512,6.989149966,7.018083449
"AF325264",5.395538149,5.909016568,6.347048007,6.922103043,7.003069953,6.827377233,6.880221002,6.843383376,6.85857835,6.99392161
"AF352579",3.574324033,3.745708916,3.696302649,3.123062016,3.095039534,3.065329332,3.169577462,3.069483919,3.100390671,3.065329332
"AF403039",2.644763732,2.763972645,2.534961837,2.289574515,2.177227785,2.188143464,2.188143464,2.023330153,2.176838011,2.140248691
"AF408408",4.026747322,4.138786981,4.154709919,4.306848084,4.417689401,4.287108032,4.300695761,4.224526123,4.330070001,4.343151672
"AF412308",3.545427051,3.429866102,3.542461812,3.613635274,3.622213342,3.511117966,3.599518699,3.447602213,3.595720448,3.437875138
"AF466768",2.919553577,2.889484183,2.889484183,2.936411746,2.889484183,2.895954406,2.889484183,2.796061837,2.889484183,2.889484183
"AF469169",5.350513548,5.702545238,6.687545604,7.193483399,6.615714461,6.745623569,6.813325498,6.624465852,6.701387838,6.722491845
"AF528078",3.950068792,3.894142984,4.001675425,3.923554047,4.191052052,4.141301364,4.314041912,4.199133975,4.266859433,4.319303733
"AF548110",2.595787414,2.477701714,2.335707289,2.712176896,2.416649766,2.670144317,2.485739313,2.401494782,2.615636022,2.168283181
"AJ005051",2.04877184,2.360448454,2.018506424,2.067223025,2.023472823,2.023472823,2.018506424,2.00975758,2.070502932,2.021157067
"AJ005350",7.053293725,7.065701647,6.550071571,5.674217726,5.075406897,5.330256715,5.301202492,5.539888411,5.502612192,5.162012606
"AJ311366",4.567947542,4.593105984,3.843778307,4.681857031,4.24732113,4.291991983,4.573970096,4.133212002,4.527604666,3.832901816
"AJ428067",3.65810319,4.772709751,5.038371323,5.065632322,5.36455953,5.091727102,5.066880059,5.204755929,5.545881073,5.218662049
"AJ555479",3.35789675,3.266117419,3.264368025,3.266117419,3.253361758,3.29465744,3.266117419,3.212933384,3.278628303,3.191993316
"AK003337",3.130855102,3.10309853,3.322000957,2.608689971,2.825796471,2.726632226,2.745440952,2.742373925,2.671134727,2.765838715
"AK003851",2.795751852,2.548404516,2.448046742,2.600156694,2.435512828,2.922684468,2.66969363,2.600156694,2.828001581,2.515127088
"AK004708",4.612988423,4.417643847,4.493726803,4.323375819,4.268805945,4.271407742,4.399459504,4.381698235,4.357753962,4.451648859
"AK005108",3.553659694,3.420103447,3.555932879,3.320323599,3.097821423,3.173775181,3.235725285,3.189117592,3.257206766,3.216185763
"AK005395",2.845480618,3.020059907,2.996567578,2.742948039,2.794521304,2.847064403,3.036984002,2.778326993,2.794053639,2.693527045
"AK005461",2.606077276,1.94864447,1.821978551,1.821978551,1.685632654,1.821978551,1.818122393,1.95458533,1.655417145,1.821978551
"AK005488",2.784689053,2.641879312,2.62395914,2.774250481,2.522453188,2.735301682,2.705536816,2.617617823,2.774469536,2.68649741
"AK005731",3.099152889,3.162327666,3.177432511,3.492244291,3.331575744,3.541898006,3.480452814,3.399261478,3.383181958,3.36432971
"AK005738",4.448254182,4.209899996,4.408028973,4.448254182,4.445275094,4.518154002,4.492641458,4.490988388,4.419395849,4.621950612
"AK005879",4.101316686,3.90859959,3.716824888,3.44438177,3.397148858,3.434383588,3.436841834,3.479954812,3.684411144,3.390270877
"AK006243",4.896700108,5.058630003,5.179907534,5.244955216,5.578288468,5.658896305,5.597022342,5.379920112,5.440619872,5.592334731
"AK006337",6.446442958,6.606182454,6.509759651,6.688586905,6.703022167,6.681486346,6.644963912,6.666163912,6.712550984,6.64639322
"AK006863",3.225663498,3.088996319,3.143696445,3.1288651,3.318090326,3.01992151,2.892636865,3.020436149,3.017032394,2.966232986
"AK007425",2.695185382,2.779245749,2.779637249,2.761333903,2.888792728,2.769348652,2.779763172,2.732912927,2.862496898,2.761333903
"AK008899",5.115375769,5.2180743,5.252975587,5.13366228,4.918910123,5.06432863,4.962374606,5.034975621,4.952867907,5.044933311
"AK009722",2.540123805,2.235628185,2.293399978,2.940460226,2.884041171,3.076633595,2.893140123,2.946844362,2.941413912,2.975775833
"AK010586",3.216357737,3.116056829,2.883958011,2.920174166,2.63334826,2.862205492,2.905976244,2.901684817,2.889322295,2.795058079
"AK010664",6.573086533,6.566722805,6.665059486,6.625382192,6.537687409,6.486339243,6.548635211,6.473371073,6.499529438,6.502568209
"AK011813",2.621404405,2.440127898,2.622085982,2.592005901,2.683876233,2.622085982,2.622085982,2.723033687,2.710812745,2.622085982
"AK012307",5.454010987,5.283157489,5.303176153,4.950546144,4.81593725,4.765646332,4.815070464,4.833273231,4.833442655,4.831468108
"AK012402",5.32800268,5.24308507,5.020510309,5.098164501,4.6564345,5.18201016,4.644402126,4.675654591,4.879750543,4.562937379
"AK013179",3.271990579,3.282055583,3.27323807,3.182552402,3.104848516,3.340442066,3.441177564,3.273105675,3.273105675,3.259467451
"AK013646",3.491151646,3.435722957,3.522541747,3.618996688,3.526432667,3.492792948,3.401322633,3.363098805,3.329123332,3.45594666
"AK013705",6.318865779,6.303007664,5.749209519,4.451427814,4.164166683,4.078755242,4.209534358,4.172147538,4.12266965,4.104884793
"AK013709",7.839867527,7.901063097,7.688539205,7.063036323,6.855770923,6.794006928,6.77350048,6.824620782,6.70127474,6.809501273
"AK013833",3.100977128,3.045261025,3.099941035,3.084071339,3.327496746,3.165426874,3.186548286,2.993985525,3.390782985,3.223882452
"AK013916",3.796838505,3.174227608,3.146146741,3.127462913,3.050289932,3.174227608,3.223283281,3.011131043,3.179880163,3.085206682
"AK014627",2.487450171,2.464543856,2.39330556,2.616994927,2.453474884,2.509211885,2.464543856,2.422823733,2.593635464,2.464543856
"AK014703",6.861362724,6.995836786,7.24481273,7.417998169,6.855127019,6.818858228,6.75941322,6.752142935,6.790492094,6.679087945
"AK014820",5.174765961,5.248464529,5.272226981,4.99895349,5.176143638,5.129761743,5.346586556,5.272849957,5.240473064,5.350815493
"AK014834",3.805243404,3.774548839,4.115610649,4.081096308,3.833420785,3.780121663,3.772411096,3.759856675,3.783865058,3.7741723
"AK014845",3.153429664,3.449676238,3.402421455,3.369738385,3.336308498,3.416124731,3.252067574,3.36669153,3.158560898,3.263877083
"AK014919",2.723113858,2.959295265,2.631120517,2.564484092,2.272615976,2.285113575,2.130282497,2.272615976,2.272615976,2.050153284
"AK015021",4.367863391,4.643722126,4.263759842,3.505114465,3.505114465,3.353315187,3.600021631,3.480032585,3.497750284,3.286330357
"AK015504",2.608953929,2.662565317,2.573725098,2.719961875,2.492189302,2.913810787,2.766233118,2.800319797,3.043067832,2.715375558
"AK015769",2.487407734,2.296024757,2.46088648,2.493126266,2.491496898,2.594829053,2.550522908,2.535947247,2.508497153,2.392320003
"AK015827",4.90555951,4.483079915,4.077166303,4.360292834,3.937153429,4.269373823,4.026573919,4.270268253,4.362144922,4.182623969
"AK015929",4.241880595,3.748144759,3.740610989,3.391010861,3.020041328,3.000279133,2.936325059,2.894271936,3.107619056,2.935356788
"AK016013",3.587494876,3.401047551,3.137525833,2.955051998,2.903549745,2.888620497,2.873851405,2.828921303,2.930019107,2.692317684
"AK016128",2.751666659,2.743607751,2.753318993,2.707616163,2.802286558,2.862476967,2.878417981,2.751666659,2.744730912,2.737452531
"AK016239",1.493150358,1.623867976,1.446938612,1.446938612,1.446938612,1.617009186,1.446938612,1.446938612,1.446938612,1.446938612
"AK016301",7.200601058,6.736700407,6.616886566,7.450721563,7.059416741,7.728703482,7.218276755,7.449148302,7.848691838,7.547397583
