"Gene","GSM1546126","GSM1546127","GSM1546128","GSM1546129","GSM1546130","GSM1546131","GSM1546132","GSM1546133"
"Copg",9.4424677,9.476341444,9.401715887,9.448670856,9.375185507,9.325213519,9.448872831,9.461066776
"Atp6v0d1",11.50249094,11.6069641,11.54730295,11.58304337,11.61398727,11.68199245,11.58382526,11.72115998
"Golga7",10.3566077,10.41588069,10.33701634,10.29544508,10.35662723,10.3276535,10.42305435,10.22780708
"Psph",8.510486681,8.573963693,8.435412517,8.433286121,8.384854348,8.510206752,8.348265321,8.235088855
"Trappc4",10.12285314,10.20653977,10.0451985,10.00741947,10.01462795,9.894791265,10.08214771,9.940262768
"Dpm2",10.46494964,10.51887561,10.47678042,10.53424365,10.48472262,10.46100274,10.56228746,10.57663807
"Psmb5",12.15939737,12.17209239,12.13965931,12.26151171,12.21317827,12.24634568,12.17662378,12.25018814
"Dhrs1",10.06295405,10.16548769,10.05578978,10.17779609,10.11222195,10.03432522,10.21974197,10.16360352
"Ppm1a",12.54304951,12.60395062,12.61127317,12.60142434,12.64835329,12.64440413,12.65129874,12.6247904
"Psenen",10.94501263,11.12715649,11.11540734,11.12470201,11.14589692,11.12534415,11.2178639,11.09567525
"Anapc1",8.206436809,8.139074515,8.045750257,8.234660389,8.243980345,8.155304723,8.172880498,8.243057383
"Mrpl43",9.43802804,9.545313079,9.415537702,9.390354194,9.360116087,9.375206451,9.473223078,9.446846373
"Xpo7",9.152324788,9.238828224,9.261208724,9.302441084,9.23660217,9.221368912,9.177157793,9.253450836
"Nmt1",9.796783181,9.823250759,9.763753706,9.861201627,9.925590585,9.914156226,9.918217675,10.11099702
"Atg5",7.986712426,8.182638709,8.09756318,8.046251371,8.026323171,8.003684169,8.20313012,8.050186689
"Mtif2",8.680899624,8.68490342,8.699380322,8.699380322,8.765726398,8.68976786,8.699380322,8.769709094
"Rab14",11.95540929,12.05234896,12.09245927,12.06039898,12.07312021,12.10472336,12.09749847,12.01360668
"Psap",12.53816173,12.52322995,12.47384891,12.50350902,12.56197933,12.57024309,12.50181936,12.58916775
"Ube2g1",10.88156737,10.91284381,10.98459801,10.97153162,11.01173221,11.08109814,11.07318762,10.84982396
"Zkscan3",7.461315561,7.38786877,7.384040335,7.394633066,7.134977375,7.294102227,7.127662797,7.194919929
"Mrpl27",10.61278243,10.73244624,10.63984934,10.7275743,10.66769564,10.57272368,10.73149701,10.65272075
"Dlg1",10.95232269,11.03779487,11.08317245,11.08188513,11.1894762,11.09064858,11.1486375,11.01906082
"Canx",12.00239676,12.05465652,12.04368063,12.05182658,12.11603553,12.11482288,12.08238704,12.03494135
"Derl1",8.085325003,8.084446751,8.053314687,8.098740642,8.169877132,8.173384939,8.042509799,8.126791455
"Wars",8.691988051,8.816022136,8.758500149,8.804998369,8.864294297,8.838370572,8.837311531,8.859454675
"Psma1",10.6977071,10.79066869,10.66091702,10.75616186,10.7842951,10.86113178,10.73315211,10.82249724
"Sar1a",12.21755639,12.16999023,12.23950222,12.20110786,12.22472396,12.23795695,12.14552202,12.14787765
"G3bp2",9.691887718,9.772662244,9.819391797,9.742057277,9.74475403,9.797665866,9.705816882,9.65208337
"Golm1",9.098637123,9.430148664,9.13865899,9.434612939,9.308391132,9.384916909,9.301427897,9.269065858
"Gps1",9.629737666,9.597881342,9.424752985,9.586718211,9.606575856,9.656295448,9.509833317,9.885321515
"Ssr3",11.85847817,11.87647646,11.97717807,11.88887807,11.94797814,11.97033632,11.89057962,11.83941827
"Rpl23",12.88569651,12.82719611,12.79239343,12.81637971,12.77947124,12.75444626,12.78291682,12.79650539
"Ctbp1",11.55494647,11.54521102,11.52254176,11.54518581,11.57309572,11.57635839,11.610299,11.58304955
"Huwe1",9.394563205,9.340209122,9.229822711,9.140541306,9.256619586,9.182716396,9.119701167,9.446243702
"Cdv3",11.82981333,11.79723005,11.75525876,11.79720272,11.73658833,11.74950373,11.73559655,11.79479386
"9130011J15Rik",11.62622384,11.58922499,11.64095915,11.63882483,11.67236006,11.67344958,11.66405542,11.5866382
"Copa",10.5819227,10.65600395,10.61409875,10.61612107,10.66928859,10.67242745,10.66565108,10.71159883
"Anapc2",9.176694337,9.197740942,9.124211766,9.198232144,9.318094679,9.399575198,9.275719423,9.3619261
"Tug1",11.01964728,11.10333809,11.050892,11.09507985,11.08873909,11.13930943,11.01244575,11.13959016
"Gbf1",8.040900625,8.109590044,7.86835296,8.092930438,8.10797755,8.250515263,8.066362841,8.398453367
"Cox18",7.796424719,7.864367839,7.878173873,7.850247085,7.882443508,8.098498122,7.960586521,8.222214764
"Arfgef1",11.69276109,11.71550393,11.66717976,11.67310701,11.7315684,11.755971,11.76493197,11.78810132
"Zranb1",10.97386228,10.75885793,10.8235016,10.82581902,10.96161629,10.83334877,10.93576505,10.81860763
"Ddx24",10.58514111,10.57652199,10.40194239,10.5170167,10.52251557,10.49107939,10.43221046,10.6842717
"Snrnp27",11.36391273,11.43441912,11.3814426,11.47041721,11.39263475,11.44726599,11.44696497,11.43855032
"Tmem129",7.839397812,7.78365126,7.746213411,7.780433725,7.744803342,7.838405199,7.790680093,7.981351473
"Rps27",13.3997402,13.42893722,13.44174882,13.50911612,13.41659208,13.44101723,13.4888862,13.49276066
"Rnf220",10.78433466,10.69186811,10.68839762,10.67743993,10.67675123,10.71825176,10.69443876,10.67496368
"LOC100044471",8.308862859,8.16298061,8.097163086,8.171669966,8.238324925,8.278935423,8.213534338,8.444185558
"Armc1",11.38993843,11.367036,11.43334894,11.44761804,11.39843467,11.37998404,11.38803045,11.35265915
"Mad2l1bp",7.588761396,7.703310131,7.648561135,7.546251491,7.623892636,7.659062335,7.694796278,7.744555135
"Nat15",9.953149356,9.880758086,9.861899115,9.812488894,9.833013113,9.847900678,9.812317265,9.963291846
"Vta1",10.45970335,10.48665231,10.37789071,10.45782039,10.48167111,10.4869699,10.52228462,10.60844227
"Eif5",12.0192402,12.00495679,12.17310656,12.07361256,12.21780752,12.17373561,12.12906982,12.17694958
"Cdc42",10.40953663,10.59513273,10.6426243,10.57152108,10.76449254,10.86648264,10.65896012,10.59143533
"Rrn3",11.47359177,11.48374477,11.58352691,11.44631722,11.56895604,11.57066256,11.58516998,11.51043338
"Ankrd17",10.72407357,10.77398428,10.73167156,10.71568051,10.69667078,10.71511157,10.74323716,10.73031931
"Apoa1bp",10.84359519,10.85688582,10.67332699,10.75590437,10.80109177,10.76053784,10.85042638,10.80192435
"Pabpn1",11.45010872,11.39714508,11.42057329,11.29938987,11.30102491,11.14134742,11.36575235,11.23143249
"Pdpk1",11.31448925,11.33719705,11.34322374,11.21350398,11.27999022,11.18073045,11.26255283,11.14924283
"Cpsf7",11.58778074,11.55438503,11.55800012,11.60963992,11.49451002,11.43044215,11.49787009,11.44462651
"Angel2",9.997432532,10.00330123,9.94254443,9.994484207,9.994931938,9.958079803,10.05292003,10.0271333
"Bat5",9.248711249,9.182961178,9.254560377,9.141352552,9.386568466,9.400641374,9.394177849,9.445492285
"Tomm5",9.214532436,9.34760483,9.363443305,9.432572384,9.425168396,9.569635625,9.408179581,9.636159624
"Rab7",12.69133961,12.63471737,12.70777986,12.63360452,12.72166002,12.66963649,12.74997157,12.70117363
"Ddb1",9.70766164,9.635054563,9.469725127,9.475196215,9.487319017,9.526889956,9.548107366,9.468304575
"Pfdn5",12.58688317,12.58576601,12.60897108,12.66567108,12.63145598,12.66919112,12.64750947,12.69998067
"Rfk",10.9764512,11.02147816,11.087057,11.13547787,11.15365249,11.13202109,11.13475189,11.0806441
"Txndc12",8.721585214,8.84878442,8.801331964,8.680012116,8.873016697,8.954140481,8.89772805,8.899865213
"Rbm42",9.883134854,9.813202548,9.77185671,9.786924218,9.863323496,9.843896433,9.747734084,9.986650559
"Psmc5",10.62947889,10.65634614,10.59378337,10.65709045,10.61863547,10.67920767,10.67360862,10.70508576
"Tmem165",8.853945965,8.930705034,8.768669328,8.771448492,8.788619582,8.909037386,8.862955076,8.895677005
"Aup1",10.48003902,10.42871906,10.43404907,10.4772799,10.45537105,10.48123531,10.41060995,10.6103272
"Hdac5",8.871048533,8.746791762,8.682882214,8.773897375,8.715342133,8.676356841,8.744367256,8.908539215
"H2",10.44470747,10.45264634,10.24133765,10.34536593,10.22161134,10.22259062,10.31271117,10.24536301
"Dscr3",7.566838472,7.699273102,7.592006131,7.691653291,7.617444527,7.81620554,7.707002104,8.010759856
"Cic",8.311489798,8.266802804,8.146413236,8.25785341,8.285763856,8.339341005,8.306620452,8.513915092
"Riok3",9.846388065,9.829592804,9.803735249,9.807853583,9.888523638,9.974323694,9.900741851,9.946319093
"Dctn5",10.70308031,10.73718444,10.77221775,10.79631954,10.78919467,10.73158022,10.85292749,10.79037362
"Rragc",10.65916633,10.6213258,10.61468598,10.68814461,10.70978508,10.67762938,10.66681393,10.63371597
"Tbl3",7.843047381,7.801338645,7.71344358,7.726620164,7.765120934,7.828007114,7.674434305,7.982144882
