"mouseID","mouseGene","humanGene","humanID"
100039707,"Gm2382","MTHFS",10588
100040843,"Cyp4a32","CYP4A11",1579
100041273,"Gm3244","NDUFB4",4710
100041585,"Amd2","AMD1",262
100042503,"Gm3873","NDUFB4",4710
100043684,"Amy2a4","AMY2B",280
100043686,"Amy2a3","AMY2B",280
100043688,"Amy2a2","AMY2B",280
100163,"Pafah2","PAFAH2",5051
100198,"H6pd","H6PD",9563
100328588,"Nup62-il4i1","IL4I1",259307
100417514,"Adh6b",NA,NA
100503991,"Acpt","ACPT",93650
100678,"Psph","PSPH",5723
100705,"Acacb","ACACB",32
100862375,"Gm21685","ENTPD4",9583
101488,"Slco2b1","SLCO2B1",11309
101490,"Inpp5f","INPP5F",22876
101502,"Hsd3b7","HSD3B7",80270
101744,"Papl","PAPL",390928
102247,"Agpat6","AGPAT6",137964
102294,"Cyp4v3","CYP4V2",285440
102448,"Xylb","XYLB",9942
102570,"Slc22a13","SLC22A13",9390
102631912,"LOC102631912","NDUFB1",4707
102632,"Acad11","ACAD11",84129
102680,"Slc6a20a","SLC6A20",54716
102857,"Slc6a8","SLC6A8",6535
103142,"Rdh9","RDH16",8608
103149,"Upb1","UPB1",51733
103199,"Fig4","FIG4",9896
103466,"Nt5dc3","NT5DC3",51559
103850,"Nt5m","NT5M",56953
103988,"Gck","GCK",2645
104015,"Synj1","SYNJ1",8867
104086,"Cyp27a1","CYP27A1",1593
104110,"Adcy4","ADCY4",196883
104111,"Adcy3","ADCY3",109
104112,"Acly","ACLY",47
104130,"Ndufb11","NDUFB11",54539
104174,"Gldc","GLDC",2731
104245,"Slc6a5","SLC6A5",9152
104418,"Dgkz","DGKZ",8525
104759,"Pld4","PLD4",122618
104776,"Aldh6a1","ALDH6A1",4329
104816,"Aspg","ASPG",374569
104923,"Adi1","ADI1",55256
105014,"Rdh14","RDH14",57665
105243,"Slc9a3","SLC9A3",6550
105349,"Akr1c18","AKR1C3",8644
105355,"Slc17a3","SLC17A3",10786
105446,"Gmpr2","GMPR2",51292
105663,"Thtpa","THTPA",79178
105727,"Slc38a1","SLC38A1",81539
106407,"Slc51a","SLC51A",200931
106529,"Tecr","TECR",9524
106557,"Ldhal6b","LDHAL6B",92483
106564,"Ppcs","PPCS",79717
106648,"Cyp4f15","CYP4F8",11283
107029,"Me2","ME2",4200
107146,"Glyat","GLYAT",10249
107239,"Carns1","CARNS1",57571
107272,"Psat1","PSAT1",29968
107476,"Acaca","ACACA",31
107569,"Nt5c3","NT5C3A",51251
107585,"Dio3","DIO3",1735
